t_s,dev,v1,v2,v3
0.2100,disk0,1113268713435136,2504356853,14741217530056005
0.2100,disk0w,2455657152512,20963764,1406740504951
0.2100,disk4,63316725180416,127425812,874872352938562
0.2100,disk4w,92291072,14003,1225021470
0.2100,disk8,71862795028480,72305852,648265704581720
0.2100,disk8w,592850944,74049,18941394999
0.2100,disk6,105635235559424,171713283,1529180395000704
0.2100,disk6w,42423025664,129812,47251876248
0.2100,ram,67876044800,5022384128,320968
0.2100,cpu,16844838,25402036,582846146
0.2100,gpu,0,0,0
0.4022,disk0,1113268713435136,2504356853,14741217530056005
0.4022,disk0w,2455657152512,20963764,1406740504951
0.4022,disk4,63316725180416,127425812,874872352938562
0.4022,disk4w,92291072,14003,1225021470
0.4022,disk8,71862795028480,72305852,648265704581720
0.4022,disk8w,592850944,74049,18941394999
0.4022,disk6,105635235559424,171713283,1529180395000704
0.4022,disk6w,42423025664,129812,47251876248
0.4022,ram,67876044800,5022384128,320968
0.4022,cpu,16844874,25402105,582847768
0.4022,gpu,0,0,0
0.6042,disk0,1113268713443328,2504356855,14741217530362338
0.6042,disk0w,2455657152512,20963764,1406740504951
0.6042,disk4,63316725180416,127425812,874872352938562
0.6042,disk4w,92291072,14003,1225021470
0.6042,disk8,71862795028480,72305852,648265704581720
0.6042,disk8w,592850944,74049,18941394999
0.6042,disk6,105635235559424,171713283,1529180395000704
0.6042,disk6w,42423025664,129812,47251876248
0.6042,ram,67876044800,5022384128,320968
0.6042,cpu,16844874,25402105,582847768
0.6042,gpu,0,0,0
0.8100,disk0,1113268713463808,2504356857,14741217531601963
0.8100,disk0w,2455657152512,20963764,1406740504951
0.8100,disk4,63316725180416,127425812,874872352938562
0.8100,disk4w,92291072,14003,1225021470
0.8100,disk8,71862795028480,72305852,648265704581720
0.8100,disk8w,592850944,74049,18941394999
0.8100,disk6,105635235559424,171713283,1529180395000704
0.8100,disk6w,42423025664,129812,47251876248
0.8100,ram,67876044800,5022384128,320968
0.8100,cpu,16844874,25402105,582847768
0.8100,gpu,0,0,0
1.0098,disk0,1113268713463808,2504356857,14741217531601963
1.0098,disk0w,2455657152512,20963764,1406740504951
1.0098,disk4,63316725180416,127425812,874872352938562
1.0098,disk4w,92291072,14003,1225021470
1.0098,disk8,71862795028480,72305852,648265704581720
1.0098,disk8w,592850944,74049,18941394999
1.0098,disk6,105635235559424,171713283,1529180395000704
1.0098,disk6w,42423025664,129812,47251876248
1.0098,ram,67876044800,5022384128,320968
1.0098,cpu,16844874,25402105,582847768
1.0098,gpu,0,0,0
1.2100,disk0,1113268720103424,2504357139,14741217562584163
1.2100,disk0w,2455657152512,20963764,1406740504951
1.2100,disk4,63316725180416,127425812,874872352938562
1.2100,disk4w,92291072,14003,1225021470
1.2100,disk8,71862795028480,72305852,648265704581720
1.2100,disk8w,592850944,74049,18941394999
1.2100,disk6,105635235559424,171713283,1529180395000704
1.2100,disk6w,42423025664,129812,47251876248
1.2100,ram,67793649664,5147344896,320968
1.2100,cpu,16844874,25402105,582847768
1.2100,gpu,0,0,0
1.4002,disk0,1113268721344512,2504357442,14741217583672981
1.4002,disk0w,2455657152512,20963764,1406740504951
1.4002,disk4,63316725180416,127425812,874872352938562
1.4002,disk4w,92291072,14003,1225021470
1.4002,disk8,71862795028480,72305852,648265704581720
1.4002,disk8w,592850944,74049,18941394999
1.4002,disk6,105635235559424,171713283,1529180395000704
1.4002,disk6w,42423025664,129812,47251876248
1.4002,ram,67793649664,5147344896,320968
1.4002,cpu,16844917,25402176,582849526
1.4002,gpu,0,0,0
1.6100,disk0,1113268721471488,2504357453,14741217587198186
1.6100,disk0w,2455657156608,20963765,1406740522867
1.6100,disk4,63316725180416,127425812,874872352938562
1.6100,disk4w,92291072,14003,1225021470
1.6100,disk8,71862795028480,72305852,648265704581720
1.6100,disk8w,592850944,74049,18941394999
1.6100,disk6,105635661232128,171713881,1529184252867214
1.6100,disk6w,42423025664,129812,47251876248
1.6100,ram,67793649664,5147344896,320968
1.6100,cpu,16844917,25402176,582849526
1.6100,gpu,0,0,0
1.8100,disk0,1113268728504320,2504357479,14741217631747803
1.8100,disk0w,2455657156608,20963765,1406740522867
1.8100,disk4,63316725180416,127425812,874872352938562
1.8100,disk4w,92291072,14003,1225021470
1.8100,disk8,71862795028480,72305852,648265704581720
1.8100,disk8w,592850944,74049,18941394999
1.8100,disk6,105636410341376,171714611,1529190255906807
1.8100,disk6w,42423025664,129812,47251876248
1.8100,ram,67793649664,5147344896,320968
1.8100,cpu,16844917,25402176,582849526
1.8100,gpu,0,0,0
2.0100,disk0,1113269199265792,2504359193,14741218866343899
2.0100,disk0w,2455657156608,20963765,1406740522867
2.0100,disk4,63316725180416,127425812,874872352938562
2.0100,disk4w,92291072,14003,1225021470
2.0100,disk8,71862795028480,72305852,648265704581720
2.0100,disk8w,592850944,74049,18941394999
2.0100,disk6,105636410341376,171714611,1529190255906807
2.0100,disk6w,42423025664,129812,47251876248
2.0100,ram,67793649664,5147344896,320968
2.0100,cpu,16844917,25402176,582849526
2.0100,gpu,0,0,0
2.2100,disk0,1113269786468352,2504360341,14741219698970828
2.2100,disk0w,2455657156608,20963765,1406740522867
2.2100,disk4,63316725180416,127425812,874872352938562
2.2100,disk4w,92291072,14003,1225021470
2.2100,disk8,71862795028480,72305852,648265704581720
2.2100,disk8w,592850944,74049,18941394999
2.2100,disk6,105636410341376,171714611,1529190255906807
2.2100,disk6w,42423025664,129812,47251876248
2.2100,ram,64146587648,6472040448,320968
2.2100,cpu,16844917,25402176,582849526
2.2100,gpu,0,0,0
2.4101,disk0,1113269920591872,2504360604,14741219886196162
2.4101,disk0w,2455657156608,20963765,1406740522867
2.4101,disk4,63316725180416,127425812,874872352938562
2.4101,disk4w,92291072,14003,1225021470
