t_s,dev,v1,v2,v3
0.2058,disk0,1127683762778112,2536312378,14851512574799523
0.2058,disk0w,2456103538688,20997537,1407892958165
0.2058,disk4,66588659722240,133993688,893824227542964
0.2058,disk4w,92291072,14003,1225021470
0.2058,disk8,79281039788032,79880936,677545970464003
0.2058,disk8w,592850944,74049,18941394999
0.2058,disk6,111716024973312,181632088,1565285695347549
0.2058,disk6w,42423025664,129812,47251876248
0.2058,ram,67857072128,5039652864,321732
0.2058,cpu,16873262,25556369,584755063
0.2058,gpu,0,0,0
0.4070,disk0,1127683762778112,2536312378,14851512574799523
0.4070,disk0w,2456103538688,20997537,1407892958165
0.4070,disk4,66588659722240,133993688,893824227542964
0.4070,disk4w,92291072,14003,1225021470
0.4070,disk8,79281039788032,79880936,677545970464003
0.4070,disk8w,592850944,74049,18941394999
0.4070,disk6,111716024973312,181632088,1565285695347549
0.4070,disk6w,42423025664,129812,47251876248
0.4070,ram,67857072128,5039652864,321732
0.4070,cpu,16873297,25556453,584756816
0.4070,gpu,0,0,0
0.6031,disk0,1127683762778112,2536312378,14851512574799523
0.6031,disk0w,2456103538688,20997537,1407892958165
0.6031,disk4,66588659722240,133993688,893824227542964
0.6031,disk4w,92291072,14003,1225021470
0.6031,disk8,79281039788032,79880936,677545970464003
0.6031,disk8w,592850944,74049,18941394999
0.6031,disk6,111716024973312,181632088,1565285695347549
0.6031,disk6w,42423025664,129812,47251876248
0.6031,ram,67857072128,5039652864,321732
0.6031,cpu,16873297,25556453,584756816
0.6031,gpu,0,0,0
0.8100,disk0,1127683762778112,2536312378,14851512574799523
0.8100,disk0w,2456103538688,20997537,1407892958165
0.8100,disk4,66588659722240,133993688,893824227542964
0.8100,disk4w,92291072,14003,1225021470
0.8100,disk8,79281039788032,79880936,677545970464003
0.8100,disk8w,592850944,74049,18941394999
0.8100,disk6,111716024973312,181632088,1565285695347549
0.8100,disk6w,42423025664,129812,47251876248
0.8100,ram,67857072128,5039652864,321732
0.8100,cpu,16873297,25556453,584756816
0.8100,gpu,0,0,0
1.0027,disk0,1127683762778112,2536312378,14851512574799523
1.0027,disk0w,2456103538688,20997537,1407892958165
1.0027,disk4,66588659722240,133993688,893824227542964
1.0027,disk4w,92291072,14003,1225021470
1.0027,disk8,79281039788032,79880936,677545970464003
1.0027,disk8w,592850944,74049,18941394999
1.0027,disk6,111716024973312,181632088,1565285695347549
1.0027,disk6w,42423025664,129812,47251876248
1.0027,ram,67857072128,5039652864,321732
1.0027,cpu,16873297,25556453,584756816
1.0027,gpu,0,0,0
1.2003,disk0,1127683768553472,2536312502,14851512593971860
1.2003,disk0w,2456103538688,20997537,1407892958165
1.2003,disk4,66588659722240,133993688,893824227542964
1.2003,disk4w,92291072,14003,1225021470
1.2003,disk8,79281039788032,79880936,677545970464003
1.2003,disk8w,592850944,74049,18941394999
1.2003,disk6,111716024973312,181632088,1565285695347549
1.2003,disk6w,42423025664,129812,47251876248
1.2003,ram,67781869568,5089902592,321732
1.2003,cpu,16873297,25556453,584756816
1.2003,gpu,0,0,0
1.4100,disk0,1127683768553472,2536312502,14851512593971860
1.4100,disk0w,2456103538688,20997537,1407892958165
1.4100,disk4,66588659722240,133993688,893824227542964
1.4100,disk4w,92291072,14003,1225021470
1.4100,disk8,79281039788032,79880936,677545970464003
1.4100,disk8w,592850944,74049,18941394999
1.4100,disk6,111716024973312,181632088,1565285695347549
1.4100,disk6w,42423025664,129812,47251876248
1.4100,ram,67781869568,5089902592,321732
1.4100,cpu,16873332,25556502,584758604
1.4100,gpu,0,0,0
1.6100,disk0,1127683768680448,2536312513,14851512595356315
1.6100,disk0w,2456103542784,20997538,1407892974998
1.6100,disk4,66588659722240,133993688,893824227542964
1.6100,disk4w,92291072,14003,1225021470
1.6100,disk8,79281039788032,79880936,677545970464003
1.6100,disk8w,592850944,74049,18941394999
1.6100,disk6,111716746442752,181632981,1565292004410292
1.6100,disk6w,42423025664,129812,47251876248
1.6100,ram,67781869568,5089902592,321732
1.6100,cpu,16873332,25556502,584758604
1.6100,gpu,0,0,0
1.8100,disk0,1127683775713280,2536312539,14851512607398513
1.8100,disk0w,2456103542784,20997538,1407892974998
1.8100,disk4,66588659722240,133993688,893824227542964
1.8100,disk4w,92291072,14003,1225021470
1.8100,disk8,79281039788032,79880936,677545970464003
1.8100,disk8w,592850944,74049,18941394999
1.8100,disk6,111717199755264,181633416,1565295550909652
1.8100,disk6w,42423025664,129812,47251876248
1.8100,ram,67781869568,5089902592,321732
1.8100,cpu,16873332,25556502,584758604
1.8100,gpu,0,0,0
2.0100,disk0,1127684363915264,2536314485,14851513941097629
2.0100,disk0w,2456103550976,20997540,1407893020747
2.0100,disk4,66588659722240,133993688,893824227542964
2.0100,disk4w,92291072,14003,1225021470
2.0100,disk8,79281039788032,79880936,677545970464003
2.0100,disk8w,592850944,74049,18941394999
2.0100,disk6,111717199755264,181633416,1565295550909652
2.0100,disk6w,42423025664,129812,47251876248
2.0100,ram,67781869568,5089902592,321732
2.0100,cpu,16873332,25556502,584758604
2.0100,gpu,0,0,0
2.2074,disk0,1127684946923520,2536315623,14851514793341298
2.2074,disk0w,2456103550976,20997540,1407893020747
2.2074,disk4,66588659722240,133993688,893824227542964
2.2074,disk4w,92291072,14003,1225021470
2.2074,disk8,79281039788032,79880936,677545970464003
2.2074,disk8w,592850944,74049,18941394999
2.2074,disk6,111717199755264,181633416,1565295550909652
2.2074,disk6w,42423025664,129812,47251876248
2.2074,ram,64014467072,6437961728,321732
2.2074,cpu,16873332,25556502,584758604
2.2074,gpu,0,0,0
2.4100,disk0,1127684968140800,2536315672,14851514825994656
2.4100,disk0w,2456103550976,20997540,1407893020747
2.4100,disk4,66588659722240,133993688,893824227542964
2.4100,disk4w,92291072,14003,1225021470
2.4100,disk8,79281039788032,79880936,677545970464003
2.4100,disk8w,592850944,74049,18941394999
2.4100,disk6,111717209356288,181633461,1565295569649220
2.4100,disk6w,42423025664,129812,47251876248
2.4100,ram,64014467072,6437961728,321732
2.4100,cpu,16873399,25556564,584760200
2.4100,gpu,0,0,0
2.6080,disk0,1127684968140800,2536315672,14851514825994656
2.6080,disk0w,2456103550976,20997540,1407893020747
2.6080,disk4,66588659722240,133993688,893824227542964
2.6080,disk4w,92291072,14003,1225021470
2.6080,disk8,79281039788032,79880936,677545970464003
2.6080,disk8w,592850944,74049,18941394999
2.6080,disk6,111718441236480,181636689,1565319008732016
2.6080,disk6w,42423025664,129812,47251876248
2.6080,ram,64014467072,6437961728,321732
2.6080,cpu,16873399,25556564,584760200
2.6080,gpu,10,2,0
2.8043,disk0,1127684968148992,2536315674,14851514827648155
2.8043,disk0w,2456103550976,20997540,1407893020747
2.8043,disk4,66588659722240,133993688,893824227542964
2.8043,disk4w,92291072,14003,1225021470
2.8043,disk8,79281039788032,79880936,677545970464003
2.8043,disk8w,592850944,74049,18941394999
2.8043,disk6,111719640692736,181641095,1565347511417502
2.8043,disk6w,42423025664,129812,47251876248
2.8043,ram,64014467072,6437961728,321732
2.8043,cpu,16873399,25556564,584760200
2.8043,gpu,0,0,0
3.0006,disk0,1127686668414976,2536318228,14851542472578960
3.0006,disk0w,2456103550976,20997540,1407893020747
3.0006,disk4,66589156288512,133994708,893836289902538
3.0006,disk4w,92291072,14003,1225021470
3.0006,disk8,79281837803520,79881709,677556724805835
3.0006,disk8w,592850944,74049,18941394999
3.0006,disk6,111720542943232,181642238,1565364451057637
3.0006,disk6w,42423025664,129812,47251876248
3.0006,ram,64014467072,6437961728,321732
3.0006,cpu,16873399,25556564,584760200
3.0006,gpu,0,0,0
3.2016,disk0,1127689028923392,2536322076,14851582715719563
3.2016,disk0w,2456103550976,20997540,1407893020747
3.2016,disk4,66589682182144,133995784,893845759028791
3.2016,disk4w,92291072,14003,1225021470
3.2016,disk8,79282957682688,79882797,677574005480056
3.2016,disk8w,592850944,74049,18941394999
3.2016,disk6,111721770203136,181643668,1565387656677927
3.2016,disk6w,42423025664,129812,47251876248
3.2016,ram,54830743552,10055663616,321732
3.2016,cpu,16873399,25556564,584760200
3.2016,gpu,10,3,0
3.4016,disk0,1127690600837120,2536324589,14851608486046647
3.4016,disk0w,2456103550976,20997540,1407893020747
3.4016,disk4,66590203881472,133996854,893858118286774
3.4016,disk4w,92291072,14003,1225021470
3.4016,disk8,79283706972160,79883523,677584470997437
3.4016,disk8w,592850944,74049,18941394999
3.4016,disk6,111722993526784,181646174,1565410864870764
3.4016,disk6w,42423025664,129812,47251876248
3.4016,ram,54833512448,10055729152,321732
3.4016,cpu,16873432,25556699,584761887
3.4016,gpu,100,0,0
3.6100,disk0,1127692531044352,2536327362,14851640101798204
3.6100,disk0w,2456103550976,20997540,1407893020747
3.6100,disk4,66590800488448,133998079,893873728780315
3.6100,disk4w,92291072,14003,1225021470
3.6100,disk8,79284636977152,79884425,677599242008426
3.6100,disk8w,592850944,74049,18941394999
3.6100,disk6,111723835795456,181647156,1565425260882347
3.6100,disk6w,42423025664,129812,47251876248
3.6100,ram,54833512448,10055729152,321732
3.6100,cpu,16873432,25556699,584761887
3.6100,gpu,0,0,0
3.8001,disk0,1127694453137408,2536330099,14851671314970713
3.8001,disk0w,2456103550976,20997540,1407893020747
3.8001,disk4,66591366195200,133999239,893887507803355
3.8001,disk4w,92291072,14003,1225021470
3.8001,disk8,79285538179072,79885300,677613020499645
3.8001,disk8w,592850944,74049,18941394999
3.8001,disk6,111724705048576,181648119,1565439411689237
3.8001,disk6w,42423025664,129812,47251876248
3.8001,ram,54833512448,10055729152,321732
3.8001,cpu,16873432,25556699,584761887
3.8001,gpu,21,0,0
4.0025,disk0,1127695816044544,2536332385,14851693800599417
4.0025,disk0w,2456103550976,20997540,1407893020747
4.0025,disk4,66591870109696,134000272,893901544814627
4.0025,disk4w,92291072,14003,1225021470
4.0025,disk8,79286196750336,79885940,677623027421166
4.0025,disk8w,592850944,74049,18941394999
4.0025,disk6,111725821413376,181650166,1565457632787596
4.0025,disk6w,42423025664,129812,47251876248
4.0025,ram,54833512448,10055729152,321732
4.0025,cpu,16873432,25556699,584761887
4.0025,gpu,0,0,0
4.2100,disk0,1127698015891456,2536336658,14851732594812559
4.2100,disk0w,2456103550976,20997540,1407893020747
4.2100,disk4,66592414836736,134001391,893914334476130
4.2100,disk4w,92291072,14003,1225021470
4.2100,disk8,79287216424960,79886930,677640410542127
4.2100,disk8w,592850944,74049,18941394999
4.2100,disk6,111726312736768,181650880,1565463555154981
4.2100,disk6w,42423025664,129812,47251876248
4.2100,ram,50962300928,10079830016,321732
4.2100,cpu,16873432,25556699,584761887
4.2100,gpu,0,0,0
4.4091,disk0,1127699528531968,2536339586,14851758600983270
4.4091,disk0w,2456103550976,20997540,1407893020747
4.4091,disk4,66592894904320,134002376,893926997500148
4.4091,disk4w,92291072,14003,1225021470
4.4091,disk8,79287904962560,79887599,677651133029744
4.4091,disk8w,592850944,74049,18941394999
4.4091,disk6,111727238481920,181652688,1565482305987635
4.4091,disk6w,42423025664,129812,47251876248
4.4091,ram,50962890752,10079830016,321732
4.4091,cpu,16873457,25556845,584763434
4.4091,gpu,0,0,0
4.6076,disk0,1127701686910976,2536344181,14851797157926518
4.6076,disk0w,2456103550976,20997540,1407893020747
4.6076,disk4,66593492559872,134003602,893942092967687
4.6076,disk4w,92291072,14003,1225021470
4.6076,disk8,79288908302336,79888573,677668340948311
4.6076,disk8w,592850944,74049,18941394999
4.6076,disk6,111728043632640,181653952,1565497687031796
4.6076,disk6w,42423025664,129812,47251876248
4.6076,ram,50962890752,10079830016,321732
4.6076,cpu,16873457,25556845,584763434
4.6076,gpu,19,0,0
4.8027,disk0,1127703279157248,2536347266,14851824099924841
4.8027,disk0w,2456103571456,20997541,1407893043330
4.8027,disk4,66593976543232,134004595,893953803916605
4.8027,disk4w,92291072,14003,1225021470
4.8027,disk8,79289672058880,79889313,677679181018691
4.8027,disk8w,592850944,74049,18941394999
4.8027,disk6,111729188890624,181655991,1565522420904580
4.8027,disk6w,42423025664,129812,47251876248
4.8027,ram,50962890752,10079830016,321732
4.8027,cpu,16873457,25556845,584763434
4.8027,gpu,0,0,0
5.0100,disk0,1127705488261120,2536351021,14851860496528852
5.0100,disk0w,2456103571456,20997541,1407893043330
5.0100,disk4,66594547017728,134005763,893965063582550
5.0100,disk4w,92291072,14003,1225021470
5.0100,disk8,79290730760192,79890341,677695636335509
5.0100,disk8w,592850944,74049,18941394999
5.0100,disk6,111730255382528,181657723,1565546878893706
5.0100,disk6w,42423025664,129812,47251876248
5.0100,ram,50962890752,10079830016,321732
5.0100,cpu,16873457,25556845,584763434
5.0100,gpu,0,0,0
5.2060,disk0,1127707180466176,2536354216,14851890568036013
5.2060,disk0w,2456103571456,20997541,1407893043330
5.2060,disk4,66594961278976,134006615,893974782915100
5.2060,disk4w,92291072,14003,1225021470
5.2060,disk8,79291521796096,79891110,677708267684930
5.2060,disk8w,592850944,74049,18941394999
5.2060,disk6,111731173754880,181659278,1565563642886008
5.2060,disk6w,42423025664,129812,47251876248
5.2060,ram,47471378432,12066471936,321732
5.2060,cpu,16873457,25556845,584763434
5.2060,gpu,74,1,0
5.4100,disk0,1127709378158592,2536357986,14851928015801712
5.4100,disk0w,2456103571456,20997541,1407893043330
5.4100,disk4,66595678627840,134008090,893992137441451
5.4100,disk4w,92291072,14003,1225021470
5.4100,disk8,79292585887744,79892142,677723723792377
5.4100,disk8w,592850944,74049,18941394999
5.4100,disk6,111732269414400,181661303,1565589006086597
5.4100,disk6w,42423025664,129812,47251876248
5.4100,ram,47453257728,12066471936,321732
5.4100,cpu,16873479,25557000,584765186
5.4100,gpu,0,0,0
5.6100,disk0,1127711669870592,2536361892,14851966888363620
5.6100,disk0w,2456103571456,20997541,1407893043330
5.6100,disk4,66596357818368,134009482,894008441418145
5.6100,disk4w,92291072,14003,1225021470
5.6100,disk8,79293683042304,79893205,677740029783019
5.6100,disk8w,592850944,74049,18941394999
5.6100,disk6,111733226108928,181663141,1565609907724639
5.6100,disk6w,42423025664,129812,47251876248
5.6100,ram,47453257728,12066471936,321732
5.6100,cpu,16873479,25557000,584765186
5.6100,gpu,0,0,0
5.8100,disk0,1127713482801152,2536365006,14851997536257462
5.8100,disk0w,2456103571456,20997541,1407893043330
5.8100,disk4,66596977125376,134010755,894024663582514
5.8100,disk4w,92291072,14003,1225021470
5.8100,disk8,79294551181312,79894048,677752780719525
5.8100,disk8w,592850944,74049,18941394999
5.8100,disk6,111734269343744,181664912,1565630321911924
5.8100,disk6w,42423025664,129812,47251876248
5.8100,ram,47453257728,12066471936,321732
5.8100,cpu,16873479,25557000,584765186
5.8100,gpu,0,0,0
6.0100,disk0,1127715307716608,2536367811,14852027996714826
6.0100,disk0w,2456103571456,20997541,1407893043330
6.0100,disk4,66597661468672,134012157,894043833575164
