t_s,dev,v1,v2,v3
0.2100,disk0,1109843714158592,2496255108,14715797823821070
0.2100,disk0w,2455520907264,20953877,1406421760232
0.2100,disk4,62525716146176,125838255,870848478129071
0.2100,disk4w,92291072,14003,1225021470
0.2100,disk8,70089569994752,70492639,641905397726350
0.2100,disk8w,592850944,74049,18941394999
0.2100,disk6,104153675859968,169300047,1520716150672798
0.2100,disk6w,42423025664,129812,47251876248
0.2100,ram,78497710080,5056741376,320765
0.2100,cpu,16837696,25364657,582394699
0.2100,gpu,0,0,0
0.4040,disk0,1109843714158592,2496255108,14715797823821070
0.4040,disk0w,2455520907264,20953877,1406421760232
0.4040,disk4,62525716146176,125838255,870848478129071
0.4040,disk4w,92291072,14003,1225021470
0.4040,disk8,70089569994752,70492639,641905397726350
0.4040,disk8w,592850944,74049,18941394999
0.4040,disk6,104153675859968,169300047,1520716150672798
0.4040,disk6w,42423025664,129812,47251876248
0.4040,ram,78495268864,5132976128,320765
0.4040,cpu,16837696,25364657,582394699
0.4040,gpu,0,0,0
0.6070,disk0,1109843714158592,2496255108,14715797823821070
0.6070,disk0w,2455520907264,20953877,1406421760232
0.6070,disk4,62525716146176,125838255,870848478129071
0.6070,disk4w,92291072,14003,1225021470
0.6070,disk8,70089569994752,70492639,641905397726350
0.6070,disk8w,592850944,74049,18941394999
0.6070,disk6,104153675859968,169300047,1520716150672798
0.6070,disk6w,42423025664,129812,47251876248
0.6070,ram,78495268864,5132976128,320765
0.6070,cpu,16837696,25364657,582394699
0.6070,gpu,0,0,0
0.8049,disk0,1109843714158592,2496255108,14715797823821070
0.8049,disk0w,2455520907264,20953877,1406421760232
0.8049,disk4,62525716146176,125838255,870848478129071
0.8049,disk4w,92291072,14003,1225021470
0.8049,disk8,70089569994752,70492639,641905397726350
0.8049,disk8w,592850944,74049,18941394999
0.8049,disk6,104153675859968,169300047,1520716150672798
0.8049,disk6w,42423025664,129812,47251876248
0.8049,ram,78495268864,5132976128,320765
0.8049,cpu,16837696,25364657,582394699
0.8049,gpu,0,0,0
1.0084,disk0,1109843714158592,2496255108,14715797823821070
1.0084,disk0w,2455520907264,20953877,1406421760232
1.0084,disk4,62525716146176,125838255,870848478129071
1.0084,disk4w,92291072,14003,1225021470
1.0084,disk8,70089569994752,70492639,641905397726350
1.0084,disk8w,592850944,74049,18941394999
1.0084,disk6,104153675859968,169300047,1520716150672798
1.0084,disk6w,42423025664,129812,47251876248
1.0084,ram,78495268864,5132976128,320765
1.0084,cpu,16837722,25364699,582396464
1.0084,gpu,0,0,0
1.2011,disk0,1109843719847936,2496255223,14715797842391701
1.2011,disk0w,2455520907264,20953877,1406421760232
1.2011,disk4,62525716146176,125838255,870848478129071
1.2011,disk4w,92291072,14003,1225021470
1.2011,disk8,70089569994752,70492639,641905397726350
1.2011,disk8w,592850944,74049,18941394999
1.2011,disk6,104153675859968,169300047,1520716150672798
1.2011,disk6w,42423025664,129812,47251876248
1.2011,ram,78495268864,5132976128,320765
1.2011,cpu,16837723,25364700,582396500
1.2011,gpu,0,0,0
1.4100,disk0,1109843719847936,2496255223,14715797842391701
1.4100,disk0w,2455520907264,20953877,1406421760232
1.4100,disk4,62525716146176,125838255,870848478129071
1.4100,disk4w,92291072,14003,1225021470
1.4100,disk8,70089569994752,70492639,641905397726350
1.4100,disk8w,592850944,74049,18941394999
1.4100,disk6,104153675859968,169300047,1520716150672798
1.4100,disk6w,42423025664,129812,47251876248
1.4100,ram,78423408640,4963663872,320765
1.4100,cpu,16837723,25364700,582396500
1.4100,gpu,0,0,0
1.6100,disk0,1109843719917568,2496255230,14715797843844281
1.6100,disk0w,2455520911360,20953878,1406421781023
1.6100,disk4,62525716146176,125838255,870848478129071
1.6100,disk4w,92291072,14003,1225021470
1.6100,disk8,70089569994752,70492639,641905397726350
1.6100,disk8w,592850944,74049,18941394999
1.6100,disk6,104154323929088,169300869,1520721867093876
1.6100,disk6w,42423025664,129812,47251876248
1.6100,ram,78421803008,4963663872,320765
1.6100,cpu,16837723,25364700,582396500
1.6100,gpu,0,0,0
1.8100,disk0,1109843726995456,2496255261,14715797857109103
1.8100,disk0w,2455520911360,20953878,1406421781023
1.8100,disk4,62525716146176,125838255,870848478129071
1.8100,disk4w,92291072,14003,1225021470
1.8100,disk8,70089569994752,70492639,641905397726350
1.8100,disk8w,592850944,74049,18941394999
1.8100,disk6,104154850641920,169301375,1520725958253999
1.8100,disk6w,42423025664,129812,47251876248
1.8100,ram,78421803008,4963663872,320765
1.8100,cpu,16837723,25364700,582396500
1.8100,gpu,0,0,0
2.0100,disk0,1109844281643008,2496257141,14715799130348254
2.0100,disk0w,2455520911360,20953878,1406421781023
2.0100,disk4,62525716146176,125838255,870848478129071
2.0100,disk4w,92291072,14003,1225021470
2.0100,disk8,70089569994752,70492639,641905397726350
2.0100,disk8w,592850944,74049,18941394999
2.0100,disk6,104154850641920,169301375,1520725958253999
2.0100,disk6w,42423025664,129812,47251876248
2.0100,ram,78421803008,4963663872,320765
2.0100,cpu,16837792,25364796,582398094
2.0100,gpu,0,0,0
2.2100,disk0,1109844864126976,2496258279,14715799991161918
2.2100,disk0w,2455520911360,20953878,1406421781023
2.2100,disk4,62525716146176,125838255,870848478129071
2.2100,disk4w,92291072,14003,1225021470
2.2100,disk8,70089569994752,70492639,641905397726350
2.2100,disk8w,592850944,74049,18941394999
2.2100,disk6,104154850641920,169301375,1520725958253999
2.2100,disk6w,42423025664,129812,47251876248
2.2100,ram,78421803008,4963663872,320765
2.2100,cpu,16837798,25364798,582398196
2.2100,gpu,0,0,0
2.4007,disk0,1109844919431168,2496258396,14715800071141130
2.4007,disk0w,2455520911360,20953878,1406421781023
2.4007,disk4,62525716146176,125838255,870848478129071
2.4007,disk4w,92291072,14003,1225021470
2.4007,disk8,70089569994752,70492639,641905397726350
2.4007,disk8w,592850944,74049,18941394999
2.4007,disk6,104154851756032,169301390,1520725960321618
2.4007,disk6w,42423025664,129812,47251876248
2.4007,ram,78421803008,4963663872,320765
2.4007,cpu,16837798,25364798,582398196
2.4007,gpu,0,0,0
2.6100,disk0,1109844919431168,2496258396,14715800071141130
2.6100,disk0w,2455520911360,20953878,1406421781023
2.6100,disk4,62525716146176,125838255,870848478129071
2.6100,disk4w,92291072,14003,1225021470
2.6100,disk8,70089569994752,70492639,641905397726350
2.6100,disk8w,592850944,74049,18941394999
2.6100,disk6,104156157888512,169304882,1520750034041176
2.6100,disk6w,42423025664,129812,47251876248
2.6100,ram,72555331584,7710343168,320765
2.6100,cpu,16837798,25364798,582398196
2.6100,gpu,0,0,0
2.8100,disk0,1109845339471872,2496258966,14715807091979205
2.8100,disk0w,2455520911360,20953878,1406421781023
2.8100,disk4,62525851166720,125838529,870853641970853
2.8100,disk4w,92291072,14003,1225021470
2.8100,disk8,70089780561920,70492843,641908396089239
2.8100,disk8w,592850944,74049,18941394999
2.8100,disk6,104157517608960,169309325,1520782680519958
2.8100,disk6w,42423025664,129812,47251876248
2.8100,ram,72555331584,7710343168,320765
2.8100,cpu,16837798,25364798,582398196
2.8100,gpu,0,0,0
3.0042,disk0,1109847060205568,2496261743,14715835671795028
3.0042,disk0w,2455520911360,20953878,1406421781023
3.0042,disk4,62526418036736,125839693,870867318583336
3.0042,disk4w,92291072,14003,1225021470
3.0042,disk8,70090605283328,70493643,641920073403461
3.0042,disk8w,592850944,74049,18941394999
3.0042,disk6,104158414243840,169310342,1520798242179879
3.0042,disk6w,42423025664,129812,47251876248
3.0042,ram,72555331584,7710343168,320765
3.0042,cpu,16837798,25364798,582398196
3.0042,gpu,0,0,0
3.2100,disk0,1109848511746048,2496264004,14715858157711466
3.2100,disk0w,2455520911360,20953878,1406421781023
3.2100,disk4,62526965188608,125840812,870880450022254
3.2100,disk4w,92291072,14003,1225021470
3.2100,disk8,70091317135360,70494332,641929162265552
3.2100,disk8w,592850944,74049,18941394999
3.2100,disk6,104159600375808,169312878,1520820735848094
3.2100,disk6w,42423025664,129812,47251876248
3.2100,ram,72555331584,7710343168,320765
3.2100,cpu,16837848,25364909,582399754
3.2100,gpu,0,0,0
3.4022,disk0,1109850527502336,2496266738,14715891329770253
3.4022,disk0w,2455520911360,20953878,1406421781023
3.4022,disk4,62527687206912,125842293,870901000161095
3.4022,disk4w,92291072,14003,1225021470
3.4022,disk8,70092278564864,70495265,641944194721228
3.4022,disk8w,592850944,74049,18941394999
3.4022,disk6,104160651393024,169314135,1520842436611293
3.4022,disk6w,42423025664,129812,47251876248
3.4022,ram,72555331584,7710343168,320765
3.4022,cpu,16837848,25364909,582399754
3.4022,gpu,14,0,0
3.6100,disk0,1109851868262400,2496269142,14715913758253940
3.6100,disk0w,2455520911360,20953878,1406421781023
3.6100,disk4,62528137668608,125843221,870912781281878
3.6100,disk4w,92291072,14003,1225021470
3.6100,disk8,70092903974912,70495872,641953435343570
3.6100,disk8w,592850944,74049,18941394999
3.6100,disk6,104161752307712,169316208,1520860852516454
3.6100,disk6w,42423025664,129812,47251876248
3.6100,ram,61670948864,10563076096,320765
3.6100,cpu,16837848,25364909,582399754
3.6100,gpu,15,0,0
3.8100,disk0,1109853596839936,2496272320,14715943051615057
3.8100,disk0w,2455520911360,20953878,1406421781023
3.8100,disk4,62528703973376,125844379,870926504471905
3.8100,disk4w,92291072,14003,1225021470
3.8100,disk8,70093705971712,70496651,641964695609508
3.8100,disk8w,592850944,74049,18941394999
3.8100,disk6,104162604668928,169317714,1520874499046314
3.8100,disk6w,42423025664,129812,47251876248
3.8100,ram,61670948864,10563076096,320765
3.8100,cpu,16837848,25364909,582399754
3.8100,gpu,51,0,0
4.0100,disk0,1109855325073408,2496276103,14715974024719060
4.0100,disk0w,2455520911360,20953878,1406421781023
4.0100,disk4,62529190504448,125845383,870939438885768
4.0100,disk4w,92291072,14003,1225021470
4.0100,disk8,70094500775936,70497425,641978464421754
4.0100,disk8w,592850944,74049,18941394999
4.0100,disk6,104163661182976,169319645,1520897171194211
4.0100,disk6w,42423025664,129812,47251876248
4.0100,ram,61670948864,10563076096,320765
4.0100,cpu,16837848,25364909,582399754
4.0100,gpu,68,0,0
4.2100,disk0,1109857378103296,2496279942,14716009682022086
4.2100,disk0w,2455520911360,20953878,1406421781023
4.2100,disk4,62529769564160,125846569,870953897171911
4.2100,disk4w,92291072,14003,1225021470
4.2100,disk8,70095430780928,70498330,641993336214842
4.2100,disk8w,592850944,74049,18941394999
4.2100,disk6,104164811085824,169321685,1520927250552806
4.2100,disk6w,42423025664,129812,47251876248
4.2100,ram,61670948864,10563076096,320765
4.2100,cpu,16837866,25365059,582401444
4.2100,gpu,18,0,0
4.4006,disk0,1109858945777664,2496282710,14716035210440453
4.4006,disk0w,2455520911360,20953878,1406421781023
4.4006,disk4,62530250139648,125847555,870965036931375
4.4006,disk4w,92291072,14003,1225021470
4.4006,disk8,70096203499520,70499085,642004486037250
4.4006,disk8w,592850944,74049,18941394999
4.4006,disk6,104165841836032,169323562,1520947100558779
4.4006,disk6w,42423025664,129812,47251876248
4.4006,ram,61670948864,10563076096,320765
4.4006,cpu,16837866,25365059,582401444
4.4006,gpu,0,0,0
4.6027,disk0,1109861405782016,2496286784,14716075493450092
4.6027,disk0w,2455520911360,20953878,1406421781023
4.6027,disk4,62531142805504,125849386,870988004962521
4.6027,disk4w,92291072,14003,1225021470
4.6027,disk8,70097392027648,70500236,642021175879086
4.6027,disk8w,592850944,74049,18941394999
4.6027,disk6,104166908856320,169325372,1520968216932522
4.6027,disk6w,42423025664,129812,47251876248
4.6027,ram,58089832448,12426166272,320765
4.6027,cpu,16837866,25365059,582401444
4.6027,gpu,0,0,0
4.8100,disk0,1109863282835456,2496289941,14716107678919269
4.8100,disk0w,2455520911360,20953878,1406421781023
4.8100,disk4,62531752388608,125850639,871003452585911
4.8100,disk4w,92291072,14003,1225021470
4.8100,disk8,70098299734016,70501117,642034396734904
4.8100,disk8w,592850944,74049,18941394999
4.8100,disk6,104168226932736,169327676,1520999249024478
4.8100,disk6w,42423025664,129812,47251876248
4.8100,ram,58089832448,12426166272,320765
4.8100,cpu,16837866,25365059,582401444
4.8100,gpu,0,0,0
5.0100,disk0,1109865020030976,2496292945,14716136667598079
5.0100,disk0w,2455520911360,20953878,1406421781023
5.0100,disk4,62532348995584,125851862,871018580617221
5.0100,disk4w,92291072,14003,1225021470
5.0100,disk8,70099124455424,70501917,642045932351058
5.0100,disk8w,592850944,74049,18941394999
5.0100,disk6,104169369774080,169329580,1521023582944171
5.0100,disk6w,42423025664,129812,47251876248
5.0100,ram,58089832448,12426166272,320765
5.0100,cpu,16837866,25365059,582401444
5.0100,gpu,65,1,0
5.2100,disk0,1109866659229696,2496321549,14716173325758122
5.2100,disk0w,2455520911360,20953878,1406421781023
5.2100,disk4,62532892960768,125852979,871031873969961
5.2100,disk4w,92291072,14003,1225021470
5.2100,disk8,70099912263680,70502681,642056806362225
5.2100,disk8w,592850944,74049,18941394999
5.2100,disk6,104170605856768,169331756,1521053968439325
5.2100,disk6w,42423025664,129812,47251876248
5.2100,ram,58089832448,12426166272,320765
5.2100,cpu,16837885,25365229,582403106
5.2100,gpu,0,0,0
5.4100,disk0,1109868003913728,2496357059,14716213651108557
5.4100,disk0w,2455520915456,20953879,1406421807939
5.4100,disk4,62533331642368,125853879,871042813768085
5.4100,disk4w,92291072,14003,1225021470
5.4100,disk8,70100528236544,70503278,642065368991599
5.4100,disk8w,592850944,74049,18941394999
