t_s,dev,v1,v2,v3
0.2100,disk0,1108793711374336,2493904203,14702641631903625
0.2100,disk0w,2455482826752,20950871,1406326725986
0.2100,disk4,62236474402816,125256813,866356158939232
0.2100,disk4w,92291072,14003,1225021470
0.2100,disk8,69564628453376,69968318,636877972438387
0.2100,disk8w,592543744,74016,18539634593
0.2100,disk6,103675918850048,168499571,1513576101595401
0.2100,disk6w,42423025664,129812,47251876248
0.2100,ram,73313140736,5175312384,320599
0.2100,cpu,16834626,25349614,582224474
0.2100,gpu,0,0,0
0.4100,disk0,1108793711374336,2493904203,14702641631903625
0.4100,disk0w,2455482826752,20950871,1406326725986
0.4100,disk4,62236474402816,125256813,866356158939232
0.4100,disk4w,92291072,14003,1225021470
0.4100,disk8,69564628453376,69968318,636877972438387
0.4100,disk8w,592543744,74016,18539634593
0.4100,disk6,103675918850048,168499571,1513576101595401
0.4100,disk6w,42423025664,129812,47251876248
0.4100,ram,73313140736,5175312384,320599
0.4100,cpu,16834626,25349614,582224474
0.4100,gpu,0,0,0
0.6100,disk0,1108793711386624,2493904206,14702641632316999
0.6100,disk0w,2455482826752,20950871,1406326725986
0.6100,disk4,62236474402816,125256813,866356158939232
0.6100,disk4w,92291072,14003,1225021470
0.6100,disk8,69564628453376,69968318,636877972438387
0.6100,disk8w,592543744,74016,18539634593
0.6100,disk6,103675918850048,168499571,1513576101595401
0.6100,disk6w,42423025664,129812,47251876248
0.6100,ram,73313140736,5175312384,320599
0.6100,cpu,16834667,25349687,582226231
0.6100,gpu,0,0,0
0.8100,disk0,1108793711611904,2493904222,14702641634280785
0.8100,disk0w,2455483088896,20950887,1406327158272
0.8100,disk4,62236474402816,125256813,866356158939232
0.8100,disk4w,92291072,14003,1225021470
0.8100,disk8,69564628453376,69968318,636877972438387
0.8100,disk8w,592543744,74016,18539634593
0.8100,disk6,103675918850048,168499571,1513576101595401
0.8100,disk6w,42423025664,129812,47251876248
0.8100,ram,73313140736,5175312384,320599
0.8100,cpu,16834667,25349687,582226231
0.8100,gpu,0,0,0
1.0094,disk0,1108793711611904,2493904222,14702641634280785
1.0094,disk0w,2455483088896,20950887,1406327158272
1.0094,disk4,62236474402816,125256813,866356158939232
1.0094,disk4w,92291072,14003,1225021470
1.0094,disk8,69564628453376,69968318,636877972438387
1.0094,disk8w,592543744,74016,18539634593
1.0094,disk6,103675918850048,168499571,1513576101595401
1.0094,disk6w,42423025664,129812,47251876248
1.0094,ram,73326755840,5162221568,320599
1.0094,cpu,16834667,25349687,582226231
1.0094,gpu,0,0,0
1.2014,disk0,1108793717350400,2493904349,14702641659946620
1.2014,disk0w,2455483088896,20950887,1406327158272
1.2014,disk4,62236474402816,125256813,866356158939232
1.2014,disk4w,92291072,14003,1225021470
1.2014,disk8,69564628453376,69968318,636877972438387
1.2014,disk8w,592543744,74016,18539634593
1.2014,disk6,103675918850048,168499571,1513576101595401
1.2014,disk6w,42423025664,129812,47251876248
1.2014,ram,73328771072,5162156032,320599
1.2014,cpu,16834667,25349687,582226231
1.2014,gpu,0,0,0
1.4100,disk0,1108793718067200,2493904524,14702641682221728
1.4100,disk0w,2455483088896,20950887,1406327158272
1.4100,disk4,62236474402816,125256813,866356158939232
1.4100,disk4w,92291072,14003,1225021470
1.4100,disk8,69564628453376,69968318,636877972438387
1.4100,disk8w,592543744,74016,18539634593
1.4100,disk6,103675918850048,168499571,1513576101595401
1.4100,disk6w,42423025664,129812,47251876248
1.4100,ram,73328771072,5162156032,320599
1.4100,cpu,16834667,25349687,582226231
1.4100,gpu,0,0,0
1.6100,disk0,1108793718288384,2493904558,14702641685550383
1.6100,disk0w,2455483092992,20950888,1406327173230
1.6100,disk4,62236474402816,125256813,866356158939232
1.6100,disk4w,92291072,14003,1225021470
1.6100,disk8,69564628453376,69968318,636877972438387
1.6100,disk8w,592543744,74016,18539634593
1.6100,disk6,103676372932608,168500204,1513580313920273
1.6100,disk6w,42423025664,129812,47251876248
1.6100,ram,73328771072,5162156032,320599
1.6100,cpu,16834711,25349764,582227981
1.6100,gpu,0,0,0
1.8100,disk0,1108793725321216,2493904584,14702641721434084
1.8100,disk0w,2455483092992,20950888,1406327173230
1.8100,disk4,62236474402816,125256813,866356158939232
1.8100,disk4w,92291072,14003,1225021470
1.8100,disk8,69564628453376,69968318,636877972438387
1.8100,disk8w,592543744,74016,18539634593
1.8100,disk6,103677093632000,168500899,1513585947149830
1.8100,disk6w,42423025664,129812,47251876248
1.8100,ram,73328771072,5162156032,320599
1.8100,cpu,16834711,25349764,582227981
1.8100,gpu,2,2,0
2.0009,disk0,1108794196099072,2493906299,14702642941958637
2.0009,disk0w,2455483109376,20950889,1406327194646
2.0009,disk4,62236474402816,125256813,866356158939232
2.0009,disk4w,92291072,14003,1225021470
2.0009,disk8,69564628453376,69968318,636877972438387
2.0009,disk8w,592543744,74016,18539634593
2.0009,disk6,103677093632000,168500899,1513585947149830
2.0009,disk6w,42423025664,129812,47251876248
2.0009,ram,73328771072,5162156032,320599
2.0009,cpu,16834711,25349764,582227981
2.0009,gpu,0,0,0
2.2100,disk0,1108794800078848,2493907480,14702643780683107
2.2100,disk0w,2455483109376,20950889,1406327194646
2.2100,disk4,62236474402816,125256813,866356158939232
2.2100,disk4w,92291072,14003,1225021470
2.2100,disk8,69564628453376,69968318,636877972438387
2.2100,disk8w,592543744,74016,18539634593
2.2100,disk6,103677093632000,168500899,1513585947149830
2.2100,disk6w,42423025664,129812,47251876248
2.2100,ram,69998755840,6493208576,320599
2.2100,cpu,16834711,25349764,582227981
2.2100,gpu,0,0,0
2.4100,disk0,1108794917429248,2493907711,14702643950300784
2.4100,disk0w,2455483109376,20950889,1406327194646
2.4100,disk4,62236474402816,125256813,866356158939232
2.4100,disk4w,92291072,14003,1225021470
2.4100,disk8,69564628453376,69968318,636877972438387
2.4100,disk8w,592543744,74016,18539634593
2.4100,disk6,103677093632000,168500899,1513585947149830
2.4100,disk6w,42423025664,129812,47251876248
2.4100,ram,69998755840,6493208576,320599
2.4100,cpu,16834711,25349764,582227981
2.4100,gpu,0,0,0
2.6100,disk0,1108794917773312,2493907720,14702643952980657
2.6100,disk0w,2455483109376,20950889,1406327194646
2.6100,disk4,62236474402816,125256813,866356158939232
2.6100,disk4w,92291072,14003,1225021470
2.6100,disk8,69564628453376,69968318,636877972438387
2.6100,disk8w,592543744,74016,18539634593
2.6100,disk6,103678265579520,168503909,1513607748665932
2.6100,disk6w,42423025664,129812,47251876248
2.6100,ram,69998755840,6493208576,320599
2.6100,cpu,16834794,25349830,582229698
2.6100,gpu,0,0,0
2.8100,disk0,1108794917781504,2493907722,14702643953251073
2.8100,disk0w,2455483109376,20950889,1406327194646
2.8100,disk4,62236474402816,125256813,866356158939232
2.8100,disk4w,92291072,14003,1225021470
2.8100,disk8,69564628453376,69968318,636877972438387
2.8100,disk8w,592543744,74016,18539634593
