t_s,dev,v1,v2,v3
0.2078,disk0,1106380881186816,2488667352,14667383029481516
0.2078,disk0w,2455410106368,20945087,1405553772466
0.2078,disk4,61522619672576,123819324,851931242880298
0.2078,disk4w,91582464,13948,1219639654
0.2078,disk8,68348246706176,68761872,621079678943749
0.2078,disk8w,586792960,73030,17161569371
0.2078,disk6,102592891676672,166733166,1493390107403261
0.2078,disk6w,42423025664,129812,47251876248
0.2078,ram,73621356544,5397889024,320387
0.2078,cpu,16829257,25315380,581856981
0.2078,gpu,0,0,0
0.4078,disk0,1106380881186816,2488667352,14667383029481516
0.4078,disk0w,2455410106368,20945087,1405553772466
0.4078,disk4,61522619672576,123819324,851931242880298
0.4078,disk4w,91582464,13948,1219639654
0.4078,disk8,68348246706176,68761872,621079678943749
0.4078,disk8w,586792960,73030,17161569371
0.4078,disk6,102592891676672,166733166,1493390107403261
0.4078,disk6w,42423025664,129812,47251876248
0.4078,ram,73621356544,5397889024,320387
0.4078,cpu,16829257,25315380,581856981
0.4078,gpu,0,0,0
0.6073,disk0,1106380881186816,2488667352,14667383029481516
0.6073,disk0w,2455410106368,20945087,1405553772466
0.6073,disk4,61522619672576,123819324,851931242880298
0.6073,disk4w,91582464,13948,1219639654
0.6073,disk8,68348246706176,68761872,621079678943749
0.6073,disk8w,586792960,73030,17161569371
0.6073,disk6,102592891676672,166733166,1493390107403261
0.6073,disk6w,42423025664,129812,47251876248
0.6073,ram,73621356544,5397889024,320387
0.6073,cpu,16829257,25315380,581856981
0.6073,gpu,0,0,0
0.8087,disk0,1106380881186816,2488667352,14667383029481516
0.8087,disk0w,2455415963648,20945185,1405558759726
0.8087,disk4,61522619672576,123819324,851931242880298
0.8087,disk4w,91582464,13948,1219639654
0.8087,disk8,68348246706176,68761872,621079678943749
0.8087,disk8w,586792960,73030,17161569371
0.8087,disk6,102592891676672,166733166,1493390107403261
0.8087,disk6w,42423025664,129812,47251876248
0.8087,ram,73604890624,5353422848,320387
0.8087,cpu,16829293,25315430,581858764
0.8087,gpu,0,0,0
1.0074,disk0,1106380881248256,2488667361,14667383030774930
1.0074,disk0w,2455415963648,20945185,1405558759726
1.0074,disk4,61522619672576,123819324,851931242880298
1.0074,disk4w,91582464,13948,1219639654
1.0074,disk8,68348246706176,68761872,621079678943749
1.0074,disk8w,586792960,73030,17161569371
1.0074,disk6,102592891676672,166733166,1493390107403261
1.0074,disk6w,42423025664,129812,47251876248
1.0074,ram,73604890624,5353422848,320387
1.0074,cpu,16829293,25315430,581858764
1.0074,gpu,0,0,0
1.2100,disk0,1106380881321984,2488667363,14667383031107887
1.2100,disk0w,2455415963648,20945185,1405558759726
1.2100,disk4,61522619672576,123819324,851931242880298
1.2100,disk4w,91582464,13948,1219639654
1.2100,disk8,68348246706176,68761872,621079678943749
1.2100,disk8w,586792960,73030,17161569371
1.2100,disk6,102592891676672,166733166,1493390107403261
1.2100,disk6w,42423025664,129812,47251876248
1.2100,ram,73604890624,5353422848,320387
1.2100,cpu,16829293,25315430,581858764
1.2100,gpu,0,0,0
1.4030,disk0,1106380881428480,2488667371,14667383032225968
1.4030,disk0w,2455415963648,20945185,1405558759726
1.4030,disk4,61522619672576,123819324,851931242880298
1.4030,disk4w,91582464,13948,1219639654
1.4030,disk8,68348246706176,68761872,621079678943749
1.4030,disk8w,586792960,73030,17161569371
1.4030,disk6,102592891676672,166733166,1493390107403261
1.4030,disk6w,42423025664,129812,47251876248
1.4030,ram,73604890624,5353422848,320387
1.4030,cpu,16829293,25315430,581858764
1.4030,gpu,0,0,0
1.6100,disk0,1106380881457152,2488667375,14667383032834259
1.6100,disk0w,2455415980032,20945189,1405558851724
1.6100,disk4,61522619672576,123819324,851931242880298
1.6100,disk4w,91582464,13948,1219639654
1.6100,disk8,68348246706176,68761872,621079678943749
1.6100,disk8w,586792960,73030,17161569371
1.6100,disk6,102592891676672,166733166,1493390107403261
1.6100,disk6w,42423025664,129812,47251876248
1.6100,ram,73604890624,5353422848,320387
1.6100,cpu,16829293,25315430,581858764
1.6100,gpu,0,0,0
1.8100,disk0,1106380890095616,2488669023,14667383087254747
1.8100,disk0w,2455415980032,20945189,1405558851724
1.8100,disk4,61522619672576,123819324,851931242880298
1.8100,disk4w,91582464,13948,1219639654
