t_s,dev,v1,v2,v3
0.2100,disk0,875703713058816,1965032969,12416656080305848
0.2100,disk0w,1977539694592,18762155,1160087586025
0.2100,disk5,24795809740800,49937848,451829657704366
0.2100,disk5w,225980416,35966,1254168700
0.2100,disk4,29218579510272,29258295,339768917398991
0.2100,disk4w,1447515719680,1489459,590195507948
0.2100,disk8,40756685309952,66147067,696828575927573
0.2100,disk8w,4128768,601,984243925
0.2100,ram,76857245696,4380803072,276770
0.2100,cpu,14865048,21334339,513399653
0.2100,gpu,0,0,0
0.4100,disk0,875703713058816,1965032969,12416656080305848
0.4100,disk0w,1977539694592,18762155,1160087586025
0.4100,disk5,24795809740800,49937848,451829657704366
0.4100,disk5w,225980416,35966,1254168700
0.4100,disk4,29218579510272,29258295,339768917398991
0.4100,disk4w,1447515719680,1489459,590195507948
0.4100,disk8,40756685309952,66147067,696828575927573
0.4100,disk8w,4128768,601,984243925
0.4100,ram,76857245696,4380803072,276770
0.4100,cpu,14865050,21334340,513399705
0.4100,gpu,0,0,0
0.6096,disk0,875703713058816,1965032969,12416656080305848
0.6096,disk0w,1977539694592,18762155,1160087586025
0.6096,disk5,24795809740800,49937848,451829657704366
0.6096,disk5w,225980416,35966,1254168700
0.6096,disk4,29218579510272,29258295,339768917398991
0.6096,disk4w,1447515719680,1489459,590195507948
0.6096,disk8,40756685309952,66147067,696828575927573
0.6096,disk8w,4128768,601,984243925
0.6096,ram,76857245696,4380803072,276770
0.6096,cpu,14865050,21334340,513399705
0.6096,gpu,0,0,0
0.8077,disk0,875703713058816,1965032969,12416656080305848
0.8077,disk0w,1977539694592,18762155,1160087586025
0.8077,disk5,24795809740800,49937848,451829657704366
0.8077,disk5w,225980416,35966,1254168700
0.8077,disk4,29218579510272,29258295,339768917398991
0.8077,disk4w,1447515719680,1489459,590195507948
0.8077,disk8,40756685309952,66147067,696828575927573
0.8077,disk8w,4128768,601,984243925
0.8077,ram,76857245696,4380803072,276770
0.8077,cpu,14865050,21334340,513399705
0.8077,gpu,0,0,0
1.0027,disk0,875703713058816,1965032969,12416656080305848
1.0027,disk0w,1977539694592,18762155,1160087586025
1.0027,disk5,24795809740800,49937848,451829657704366
1.0027,disk5w,225980416,35966,1254168700
1.0027,disk4,29218579510272,29258295,339768917398991
1.0027,disk4w,1447515719680,1489459,590195507948
1.0027,disk8,40756685309952,66147067,696828575927573
1.0027,disk8w,4128768,601,984243925
1.0027,ram,76857245696,4380803072,276770
1.0027,cpu,14865050,21334340,513399705
1.0027,gpu,0,0,0
1.2052,disk0,875703718879232,1965033080,12416656098215893
1.2052,disk0w,1977539694592,18762155,1160087586025
1.2052,disk5,24795809740800,49937848,451829657704366
1.2052,disk5w,225980416,35966,1254168700
1.2052,disk4,29218579510272,29258295,339768917398991
1.2052,disk4w,1447515719680,1489459,590195507948
1.2052,disk8,40756685309952,66147067,696828575927573
1.2052,disk8w,4128768,601,984243925
1.2052,ram,76798279680,4381474816,276770
1.2052,cpu,14865091,21334377,513401362
1.2052,gpu,0,0,0
1.4100,disk0,875703718936576,1965033084,12416656098793642
1.4100,disk0w,1977539698688,18762156,1160087602858
1.4100,disk5,24795809740800,49937848,451829657704366
1.4100,disk5w,225980416,35966,1254168700
1.4100,disk4,29218579510272,29258295,339768917398991
1.4100,disk4w,1447515719680,1489459,590195507948
1.4100,disk8,40756779337728,66147317,696829729141399
1.4100,disk8w,4128768,601,984243925
1.4100,ram,76795576320,4381474816,276770
1.4100,cpu,14865094,21334385,513401552
1.4100,gpu,0,0,0
1.6083,disk0,875703718936576,1965033084,12416656098793642
1.6083,disk0w,1977539698688,18762156,1160087602858
1.6083,disk5,24795809740800,49937848,451829657704366
1.6083,disk5w,225980416,35966,1254168700
1.6083,disk4,29218579510272,29258295,339768917398991
1.6083,disk4w,1447515719680,1489459,590195507948
1.6083,disk8,40757860091904,66148395,696838394645067
1.6083,disk8w,4128768,601,984243925
1.6083,ram,76795576320,4381474816,276770
1.6083,cpu,14865094,21334385,513401552
1.6083,gpu,0,0,0
1.8100,disk0,875704062513152,1965034336,12416656992901654
1.8100,disk0w,1977539706880,18762158,1160087649357
1.8100,disk5,24795809740800,49937848,451829657704366
1.8100,disk5w,225980416,35966,1254168700
1.8100,disk4,29218579510272,29258295,339768917398991
1.8100,disk4w,1447515719680,1489459,590195507948
1.8100,disk8,40757860091904,66148395,696838394645067
1.8100,disk8w,4128768,601,984243925
1.8100,ram,76795576320,4381474816,276770
1.8100,cpu,14865094,21334385,513401552
1.8100,gpu,0,0,0
2.0071,disk0,875704632938496,1965035679,12416657995100223
2.0071,disk0w,1977539706880,18762158,1160087649357
2.0071,disk5,24795809740800,49937848,451829657704366
2.0071,disk5w,225980416,35966,1254168700
2.0071,disk4,29218579510272,29258295,339768917398991
2.0071,disk4w,1447515719680,1489459,590195507948
2.0071,disk8,40757860091904,66148395,696838394645067
2.0071,disk8w,4128768,601,984243925
2.0071,ram,76795576320,4381474816,276770
2.0071,cpu,14865094,21334385,513401552
2.0071,gpu,0,0,0
2.2033,disk0,875704918056960,1965036235,12416658433324331
2.2033,disk0w,1977539706880,18762158,1160087649357
2.2033,disk5,24795809740800,49937848,451829657704366
2.2033,disk5w,225980416,35966,1254168700
2.2033,disk4,29218579510272,29258295,339768917398991
2.2033,disk4w,1447515719680,1489459,590195507948
2.2033,disk8,40757860091904,66148395,696838394645067
2.2033,disk8w,4128768,601,984243925
2.2033,ram,76795576320,4381474816,276770
2.2033,cpu,14865094,21334385,513401552
2.2033,gpu,0,0,0
2.4020,disk0,875704918380544,1965036242,12416658434648371
2.4020,disk0w,1977539706880,18762158,1160087649357
2.4020,disk5,24795809740800,49937848,451829657704366
2.4020,disk5w,225980416,35966,1254168700
2.4020,disk4,29218579510272,29258295,339768917398991
2.4020,disk4w,1447515719680,1489459,590195507948
2.4020,disk8,40758594635776,66150069,696850648140126
2.4020,disk8w,4128768,601,984243925
2.4020,ram,71621984256,6771736576,276770
2.4020,cpu,14865178,21334446,513403130
2.4020,gpu,0,0,0
2.6100,disk0,875704918503424,1965036248,12416658437998161
2.6100,disk0w,1977539706880,18762158,1160087649357
2.6100,disk5,24795809740800,49937848,451829657704366
2.6100,disk5w,225980416,35966,1254168700
2.6100,disk4,29218579510272,29258295,339768917398991
2.6100,disk4w,1447515719680,1489459,590195507948
2.6100,disk8,40759839713280,66154351,696877395220659
2.6100,disk8w,4128768,601,984243925
2.6100,ram,71621984256,6771736576,276770
2.6100,cpu,14865178,21334446,513403130
2.6100,gpu,0,0,0
2.8100,disk0,875705602850816,1965037482,12416670265885491
2.8100,disk0w,1977539706880,18762158,1160087649357
2.8100,disk5,24796160686080,49938569,451839884899848
2.8100,disk5w,225980416,35966,1254168700
2.8100,disk4,29219018191872,29258721,339775520735514
2.8100,disk4w,1447515719680,1489459,590195507948
2.8100,disk8,40760774658048,66156579,696898412113546
2.8100,disk8w,4128768,601,984243925
2.8100,ram,71621984256,6771736576,276770
2.8100,cpu,14865178,21334446,513403130
2.8100,gpu,0,0,0
3.0100,disk0,875707287388160,1965040480,12416698641391028
3.0100,disk0w,1977539706880,18762158,1160087649357
3.0100,disk5,24796687104000,49939648,451852092554103
3.0100,disk5w,225980416,35966,1254168700
3.0100,disk4,29219860460544,29259538,339788606385364
3.0100,disk4w,1447515719680,1489459,590195507948
