t_s,dev,v1,v2,v3
0.2050,disk0,924981293166592,2083094436,12824250901211830
0.2050,disk0w,2189199536128,19743810,1284563614504
0.2050,disk4,1765048969216,3593469,32245094756615
0.2050,disk4w,2195456,171,27582691
0.2050,disk8,2862615422976,2873688,44122574288393
0.2050,disk8w,319332352,41677,1302042322
0.2050,disk6,3452164159488,5688074,70737061073089
0.2050,disk6w,380928,53,8067940
0.2050,ram,78207614976,5541445632,282530
0.2050,cpu,15738947,22456282,540560377
0.2050,gpu,0,0,0
0.4050,disk0,924981293178880,2083094439,12824250901632412
0.4050,disk0w,2189199536128,19743810,1284563614504
0.4050,disk4,1765048969216,3593469,32245094756615
0.4050,disk4w,2195456,171,27582691
0.4050,disk8,2862615422976,2873688,44122574288393
0.4050,disk8w,319332352,41677,1302042322
0.4050,disk6,3452164159488,5688074,70737061073089
0.4050,disk6w,380928,53,8067940
0.4050,ram,78207614976,5541445632,282530
0.4050,cpu,15738947,22456282,540560377
0.4050,gpu,0,0,0
0.6030,disk0,924981293178880,2083094439,12824250901632412
0.6030,disk0w,2189200285696,19743940,1284566881212
0.6030,disk4,1765048969216,3593469,32245094756615
0.6030,disk4w,2195456,171,27582691
0.6030,disk8,2862615422976,2873688,44122574288393
0.6030,disk8w,319332352,41677,1302042322
0.6030,disk6,3452164159488,5688074,70737061073089
0.6030,disk6w,380928,53,8067940
0.6030,ram,78207614976,5541445632,282530
0.6030,cpu,15738947,22456282,540560377
0.6030,gpu,0,0,0
0.8050,disk0,924981293195264,2083094443,12824250901936662
0.8050,disk0w,2189200498688,19743971,1284567560701
0.8050,disk4,1765048969216,3593469,32245094756615
0.8050,disk4w,2195456,171,27582691
0.8050,disk8,2862615422976,2873688,44122574288393
0.8050,disk8w,319332352,41677,1302042322
0.8050,disk6,3452164159488,5688074,70737061073089
0.8050,disk6w,380928,53,8067940
0.8050,ram,78207614976,5541445632,282530
0.8050,cpu,15738947,22456282,540560377
0.8050,gpu,0,0,0
1.0050,disk0,924981293199360,2083094444,12824250902177370
1.0050,disk0w,2189200498688,19743971,1284567560701
1.0050,disk4,1765048969216,3593469,32245094756615
1.0050,disk4w,2195456,171,27582691
1.0050,disk8,2862615422976,2873688,44122574288393
1.0050,disk8w,319332352,41677,1302042322
1.0050,disk6,3452164159488,5688074,70737061073089
1.0050,disk6w,380928,53,8067940
1.0050,ram,77978615808,6008422400,282530
1.0050,cpu,15739024,22456371,540561938
1.0050,gpu,0,0,0
1.2050,disk0,924981299589120,2083094586,12824250922772618
1.2050,disk0w,2189200498688,19743971,1284567560701
1.2050,disk4,1765048969216,3593469,32245094756615
1.2050,disk4w,2195456,171,27582691
1.2050,disk8,2862615422976,2873688,44122574288393
1.2050,disk8w,319332352,41677,1302042322
1.2050,disk6,3452164159488,5688074,70737061073089
1.2050,disk6w,380928,53,8067940
1.2050,ram,77948403712,6008815616,282530
1.2050,cpu,15739031,22456378,540562004
1.2050,gpu,38,37,0
1.4050,disk0,924981299843072,2083094602,12824250924478196
1.4050,disk0w,2189200510976,19743974,1284567621491
1.4050,disk4,1765048969216,3593469,32245094756615
1.4050,disk4w,2195456,171,27582691
1.4050,disk8,2862615422976,2873688,44122574288393
1.4050,disk8w,319332352,41677,1302042322
1.4050,disk6,3452270114816,5688336,70738251090793
1.4050,disk6w,380928,53,8067940
1.4050,ram,77948403712,6008815616,282530
1.4050,cpu,15739031,22456378,540562004
1.4050,gpu,27,26,0
1.6050,disk0,924981299843072,2083094602,12824250924478196
1.6050,disk0w,2189200510976,19743974,1284567621491
1.6050,disk4,1765048969216,3593469,32245094756615
1.6050,disk4w,2195456,171,27582691
1.6050,disk8,2862615422976,2873688,44122574288393
1.6050,disk8w,319332352,41677,1302042322
1.6050,disk6,3453338941440,5689402,70746852511312
1.6050,disk6w,380928,53,8067940
1.6050,ram,77948403712,6008815616,282530
1.6050,cpu,15739031,22456378,540562004
1.6050,gpu,32,17,0
1.8050,disk0,924981299843072,2083094602,12824250924478196
1.8050,disk0w,2189200510976,19743974,1284567621491
1.8050,disk4,1765048969216,3593469,32245094756615
1.8050,disk4w,2195456,171,27582691
1.8050,disk8,2862615422976,2873688,44122574288393
1.8050,disk8w,319332352,41677,1302042322
1.8050,disk6,3454416566272,5692098,70766654245766
1.8050,disk6w,380928,53,8067940
1.8050,ram,77948403712,6008815616,282530
1.8050,cpu,15739031,22456378,540562004
1.8050,gpu,0,0,0
2.0050,disk0,924981300834304,2083094651,12824250934754346
2.0050,disk0w,2189200510976,19743974,1284567621491
2.0050,disk4,1765048969216,3593469,32245094756615
2.0050,disk4w,2195456,171,27582691
2.0050,disk8,2862615422976,2873688,44122574288393
2.0050,disk8w,319332352,41677,1302042322
2.0050,disk6,3455435872256,5695792,70789371694199
2.0050,disk6w,380928,53,8067940
2.0050,ram,70274580480,10600841216,282530
