t_s,dev,v1,v2,v3
0.2050,disk0,939581003964416,2118940300,12918728233181165
0.2050,disk0w,2190180790272,19800881,1286111933842
0.2050,disk4,7287649503232,14691524,85809711436870
0.2050,disk4w,2195456,171,27582691
0.2050,disk8,7179045545984,7255967,62254309501466
0.2050,disk8w,352055296,46062,2394131111
0.2050,disk6,12643378112512,20627782,174979160350403
0.2050,disk6w,491520,70,201274851
0.2050,ram,67819913216,5808013312,284337
0.2050,cpu,15821690,22669699,542981251
0.2050,gpu,0,0,0
0.4050,disk0,939581003964416,2118940300,12918728233181165
0.4050,disk0w,2190180790272,19800881,1286111933842
0.4050,disk4,7287649503232,14691524,85809711436870
0.4050,disk4w,2195456,171,27582691
0.4050,disk8,7179045545984,7255967,62254309501466
0.4050,disk8w,352055296,46062,2394131111
0.4050,disk6,12643378112512,20627782,174979160350403
0.4050,disk6w,491520,70,201274851
0.4050,ram,67819913216,5808013312,284337
0.4050,cpu,15821690,22669699,542981251
0.4050,gpu,0,0,0
0.6007,disk0,939581003964416,2118940300,12918728233181165
0.6007,disk0w,2190180790272,19800881,1286111933842
0.6007,disk4,7287649503232,14691524,85809711436870
0.6007,disk4w,2195456,171,27582691
0.6007,disk8,7179045545984,7255967,62254309501466
0.6007,disk8w,352055296,46062,2394131111
0.6007,disk6,12643378112512,20627782,174979160350403
0.6007,disk6w,491520,70,201274851
0.6007,ram,67819913216,5808013312,284337
0.6007,cpu,15821690,22669699,542981251
0.6007,gpu,0,0,0
0.8050,disk0,939581003964416,2118940300,12918728233181165
0.8050,disk0w,2190180790272,19800881,1286111933842
0.8050,disk4,7287649503232,14691524,85809711436870
0.8050,disk4w,2195456,171,27582691
0.8050,disk8,7179045545984,7255967,62254309501466
0.8050,disk8w,352055296,46062,2394131111
0.8050,disk6,12643378112512,20627782,174979160350403
0.8050,disk6w,491520,70,201274851
0.8050,ram,67819913216,5808013312,284337
0.8050,cpu,15821690,22669699,542981251
0.8050,gpu,0,0,0
1.0050,disk0,939581003964416,2118940300,12918728233181165
1.0050,disk0w,2190180790272,19800881,1286111933842
1.0050,disk4,7287649503232,14691524,85809711436870
1.0050,disk4w,2195456,171,27582691
1.0050,disk8,7179045545984,7255967,62254309501466
1.0050,disk8w,352055296,46062,2394131111
1.0050,disk6,12643378112512,20627782,174979160350403
1.0050,disk6w,491520,70,201274851
1.0050,ram,67629662208,6457458688,284337
1.0050,cpu,15821763,22669768,542982957
1.0050,gpu,0,0,0
1.2040,disk0,939581011755008,2118940875,12918728280596554
1.2040,disk0w,2190180790272,19800881,1286111933842
1.2040,disk4,7287649503232,14691524,85809711436870
1.2040,disk4w,2195456,171,27582691
1.2040,disk8,7179045545984,7255967,62254309501466
1.2040,disk8w,352055296,46062,2394131111
1.2040,disk6,12643378112512,20627782,174979160350403
1.2040,disk6w,491520,70,201274851
1.2040,ram,67629662208,6457458688,284337
1.2040,cpu,15821763,22669768,542982957
1.2040,gpu,0,0,0
1.4050,disk0,939581019873280,2118942857,12918728408052879
1.4050,disk0w,2190180790272,19800881,1286111933842
1.4050,disk4,7287649503232,14691524,85809711436870
1.4050,disk4w,2195456,171,27582691
1.4050,disk8,7179045545984,7255967,62254309501466
1.4050,disk8w,352055296,46062,2394131111
1.4050,disk6,12643378112512,20627782,174979160350403
1.4050,disk6w,491520,70,201274851
1.4050,ram,67629662208,6457458688,284337
1.4050,cpu,15821763,22669768,542982957
1.4050,gpu,0,0,0
1.6050,disk0,939581027655680,2118944757,12918728531791880
1.6050,disk0w,2190180790272,19800881,1286111933842
1.6050,disk4,7287649503232,14691524,85809711436870
1.6050,disk4w,2195456,171,27582691
1.6050,disk8,7179045545984,7255967,62254309501466
1.6050,disk8w,352055296,46062,2394131111
1.6050,disk6,12643378112512,20627782,174979160350403
1.6050,disk6w,491520,70,201274851
1.6050,ram,67629662208,6457458688,284337
1.6050,cpu,15821763,22669768,542982957
1.6050,gpu,0,0,0
1.8028,disk0,939581034000384,2118946306,12918728638474562
1.8028,disk0w,2190180790272,19800881,1286111933842
1.8028,disk4,7287649503232,14691524,85809711436870
1.8028,disk4w,2195456,171,27582691
1.8028,disk8,7179045545984,7255967,62254309501466
1.8028,disk8w,352055296,46062,2394131111
1.8028,disk6,12643378112512,20627782,174979160350403
1.8028,disk6w,491520,70,201274851
1.8028,ram,67629662208,6457458688,284337
1.8028,cpu,15821763,22669768,542982957
1.8028,gpu,25,25,0
2.0049,disk0,939581035708416,2118946723,12918728669766010
2.0049,disk0w,2190180794368,19800882,1286111947925
2.0049,disk4,7287649503232,14691524,85809711436870
2.0049,disk4w,2195456,171,27582691
2.0049,disk8,7179045545984,7255967,62254309501466
2.0049,disk8w,352055296,46062,2394131111
2.0049,disk6,12643414263808,20627979,174979452196922
2.0049,disk6w,491520,70,201274851
2.0049,ram,67574087680,6287212544,284337
2.0049,cpu,15821849,22669896,542984549
2.0049,gpu,0,0,0
2.2050,disk0,939581035708416,2118946723,12918728669766010
2.2050,disk0w,2190180794368,19800882,1286111947925
2.2050,disk4,7287649503232,14691524,85809711436870
2.2050,disk4w,2195456,171,27582691
2.2050,disk8,7179045545984,7255967,62254309501466
2.2050,disk8w,352055296,46062,2394131111
2.2050,disk6,12644553312256,20629212,174988939831434
2.2050,disk6w,491520,70,201274851
2.2050,ram,67574087680,6287212544,284337
2.2050,cpu,15821849,22669896,542984549
2.2050,gpu,0,0,0
2.4050,disk0,939581035708416,2118946723,12918728669766010
2.4050,disk0w,2190180794368,19800882,1286111947925
2.4050,disk4,7287649503232,14691524,85809711436870
2.4050,disk4w,2195456,171,27582691
2.4050,disk8,7179045545984,7255967,62254309501466
2.4050,disk8w,352055296,46062,2394131111
2.4050,disk6,12645594597376,20631770,175007620350489
2.4050,disk6w,491520,70,201274851
2.4050,ram,67574087680,6287212544,284337
2.4050,cpu,15821849,22669896,542984549
2.4050,gpu,0,0,0
2.6040,disk0,939581036097536,2118946740,12918728672737340
2.6040,disk0w,2190180794368,19800882,1286111947925
2.6040,disk4,7287649503232,14691524,85809711436870
2.6040,disk4w,2195456,171,27582691
2.6040,disk8,7179045545984,7255967,62254309501466
2.6040,disk8w,352055296,46062,2394131111
2.6040,disk6,12646622259200,20635491,175030681963099
2.6040,disk6w,491520,70,201274851
2.6040,ram,67574087680,6287212544,284337
2.6040,cpu,15821849,22669896,542984549
2.6040,gpu,0,0,0
2.8040,disk0,939581923311616,2118948160,12918741918248630
2.8040,disk0w,2190180794368,19800882,1286111947925
2.8040,disk4,7288190126080,14692630,85825389917917
2.8040,disk4w,2195456,171,27582691
2.8040,disk8,7179630372864,7256535,62262235287736
2.8040,disk8w,352055296,46062,2394131111
2.8040,disk6,12647812667392,20637829,175057872920987
2.8040,disk6w,491520,70,201274851
2.8040,ram,67574087680,6287212544,284337
2.8040,cpu,15821849,22669896,542984549
2.8040,gpu,0,0,0
3.0050,disk0,939583147016192,2118950414,12918760217853551
3.0050,disk0w,2190180794368,19800882,1286111947925
3.0050,disk4,7288989427712,14694267,85849854474159
3.0050,disk4w,2195456,171,27582691
3.0050,disk8,7180458371072,7257338,62274596717686
3.0050,disk8w,352055296,46062,2394131111
3.0050,disk6,12648744421376,20638886,175074547823268
3.0050,disk6w,491520,70,201274851
3.0050,ram,57666306048,9715236864,284337
3.0050,cpu,15821908,22670017,542986120
3.0050,gpu,0,0,0
3.2050,disk0,939584212156416,2118952295,12918777782215441
3.2050,disk0w,2190180794368,19800882,1286111947925
3.2050,disk4,7289579702272,14695484,85868059913479
3.2050,disk4w,2195456,171,27582691
3.2050,disk8,7181081028608,7257943,62283474089640
3.2050,disk8w,352055296,46062,2394131111
3.2050,disk6,12649837545472,20641072,175099662661918
3.2050,disk6w,491520,70,201274851
3.2050,ram,57666306048,9715236864,284337
3.2050,cpu,15821908,22670017,542986120
3.2050,gpu,0,0,0
3.4050,disk0,939585313783808,2118953837,12918792711076353
3.4050,disk0w,2190180794368,19800882,1286111947925
3.4050,disk4,7290362841088,14697089,85893473482985
3.4050,disk4w,2195456,171,27582691
3.4050,disk8,7181762783232,7258603,62293185452931
3.4050,disk8w,352055296,46062,2394131111
3.4050,disk6,12650821679104,20642378,175120247774408
3.4050,disk6w,491520,70,201274851
3.4050,ram,57666306048,9715236864,284337
3.4050,cpu,15821908,22670017,542986120
3.4050,gpu,0,0,0
3.6050,disk0,939586651226112,2118955838,12918813600830243
3.6050,disk0w,2190180986880,19800897,1286112282085
3.6050,disk4,7291246692352,14698903,85923764278364
3.6050,disk4w,2195456,171,27582691
3.6050,disk8,7182554998784,7259372,62305848090051
3.6050,disk8w,352055296,46062,2394131111
3.6050,disk6,12651899516928,20643682,175144934679304
3.6050,disk6w,491520,70,201274851
3.6050,ram,57666306048,9715236864,284337
3.6050,cpu,15821908,22670017,542986120
3.6050,gpu,0,0,0
3.8050,disk0,939588019929088,2118959011,12918837891220542
3.8050,disk0w,2190180999168,19800900,1286116965209
3.8050,disk4,7291878393856,14700199,85943607091328
3.8050,disk4w,2195456,171,27582691
3.8050,disk8,7183221794816,7260021,62316349886956
3.8050,disk8w,352055296,46062,2394131111
3.8050,disk6,12653104633856,20645892,175170731512176
3.8050,disk6w,491520,70,201274851
3.8050,ram,57666306048,9715236864,284337
3.8050,cpu,15821908,22670017,542986120
3.8050,gpu,0,0,0
4.0050,disk0,939589389041664,2118962251,12918860538720348
4.0050,disk0w,2190180999168,19800900,1286116965209
4.0050,disk4,7292539504640,14701548,85961623949197
4.0050,disk4w,2195456,171,27582691
4.0050,disk8,7183993415680,7260768,62328385678210
4.0050,disk8w,352055296,46062,2394131111
4.0050,disk6,12654122080256,20647743,175189405816138
4.0050,disk6w,491520,70,201274851
4.0050,ram,52695105536,12269125632,284337
4.0050,cpu,15821999,22670211,542987677
4.0050,gpu,0,0,0
4.2050,disk0,939590871875584,2118966252,12918886045502842
4.2050,disk0w,2190180999168,19800900,1286116965209
4.2050,disk4,7293216229376,14702942,85980738786605
4.2050,disk4w,2195456,171,27582691
4.2050,disk8,7185159612416,7261901,62352373344502
4.2050,disk8w,352055296,46062,2394131111
4.2050,disk6,12655362324480,20649649,175223031854906
4.2050,disk6w,491520,70,201274851
4.2050,ram,52695105536,12269125632,284337
4.2050,cpu,15821999,22670213,542987693
