t_s,dev,v1,v2,v3
0.2100,disk0,901703235706880,2027479189,12625402593657878
0.2100,disk0w,1979392147456,18841786,1162697563779
0.2100,disk5,34730286790656,69912182,583009722128093
0.2100,disk5w,225980416,35966,1254168700
0.2100,disk4,37999688709120,38080440,404410629336352
0.2100,disk4w,1447558162432,1494953,591086721008
0.2100,disk8,57147157047296,92830025,923657633482171
0.2100,disk8w,4128768,601,984243925
0.2100,ram,74732634112,4368367616,279204
0.2100,cpu,14960353,21683602,518649515
0.2100,gpu,0,0,0
0.4070,disk0,901703235706880,2027479189,12625402593657878
0.4070,disk0w,1979392147456,18841786,1162697563779
0.4070,disk5,34730286790656,69912182,583009722128093
0.4070,disk5w,225980416,35966,1254168700
0.4070,disk4,37999688709120,38080440,404410629336352
0.4070,disk4w,1447558162432,1494953,591086721008
0.4070,disk8,57147157047296,92830025,923657633482171
0.4070,disk8w,4128768,601,984243925
0.4070,ram,74732634112,4368367616,279204
0.4070,cpu,14960353,21683602,518649515
0.4070,gpu,0,0,0
0.6031,disk0,901703235719168,2027479192,12625402594038210
0.6031,disk0w,1979392147456,18841786,1162697563779
0.6031,disk5,34730286790656,69912182,583009722128093
0.6031,disk5w,225980416,35966,1254168700
0.6031,disk4,37999688709120,38080440,404410629336352
0.6031,disk4w,1447558162432,1494953,591086721008
0.6031,disk8,57147157047296,92830025,923657633482171
0.6031,disk8w,4128768,601,984243925
0.6031,ram,74732634112,4368367616,279204
0.6031,cpu,14960353,21683602,518649515
0.6031,gpu,0,0,0
0.8100,disk0,901703235719168,2027479192,12625402594038210
0.8100,disk0w,1979392147456,18841786,1162697563779
0.8100,disk5,34730286790656,69912182,583009722128093
0.8100,disk5w,225980416,35966,1254168700
0.8100,disk4,37999688709120,38080440,404410629336352
0.8100,disk4w,1447558162432,1494953,591086721008
0.8100,disk8,57147157047296,92830025,923657633482171
0.8100,disk8w,4128768,601,984243925
0.8100,ram,74732634112,4368367616,279204
0.8100,cpu,14960353,21683602,518649515
0.8100,gpu,0,0,0
1.0100,disk0,901703235723264,2027479193,12625402595980960
1.0100,disk0w,1979392147456,18841786,1162697563779
1.0100,disk5,34730286790656,69912182,583009722128093
1.0100,disk5w,225980416,35966,1254168700
1.0100,disk4,37999688709120,38080440,404410629336352
1.0100,disk4w,1447558162432,1494953,591086721008
1.0100,disk8,57147157047296,92830025,923657633482171
1.0100,disk8w,4128768,601,984243925
1.0100,ram,74732634112,4368367616,279204
1.0100,cpu,14960353,21683602,518649515
1.0100,gpu,0,0,0
1.2100,disk0,901703242842112,2027479619,12625402638620942
1.2100,disk0w,1979392147456,18841786,1162697563779
1.2100,disk5,34730286790656,69912182,583009722128093
1.2100,disk5w,225980416,35966,1254168700
1.2100,disk4,37999688709120,38080440,404410629336352
1.2100,disk4w,1447558162432,1494953,591086721008
1.2100,disk8,57147157047296,92830025,923657633482171
1.2100,disk8w,4128768,601,984243925
1.2100,ram,74671144960,4369235968,279204
1.2100,cpu,14960408,21683662,518651268
1.2100,gpu,0,0,0
1.4029,disk0,901703242964992,2027479629,12625402640921647
1.4029,disk0w,1979392151552,18841787,1162697580195
1.4029,disk5,34730286790656,69912182,583009722128093
1.4029,disk5w,225980416,35966,1254168700
1.4029,disk4,37999688709120,38080440,404410629336352
1.4029,disk4w,1447558162432,1494953,591086721008
1.4029,disk8,57147158145024,92830029,923657634806461
1.4029,disk8w,4128768,601,984243925
1.4029,ram,74671144960,4369235968,279204
1.4029,cpu,14960408,21683662,518651268
1.4029,gpu,0,0,0
1.6100,disk0,901703242964992,2027479629,12625402640921647
1.6100,disk0w,1979392151552,18841787,1162697580195
1.6100,disk5,34730286790656,69912182,583009722128093
1.6100,disk5w,225980416,35966,1254168700
1.6100,disk4,37999688709120,38080440,404410629336352
1.6100,disk4w,1447558162432,1494953,591086721008
1.6100,disk8,57148331829248,92831353,923667507651608
1.6100,disk8w,4128768,601,984243925
1.6100,ram,74671144960,4369235968,279204
1.6100,cpu,14960408,21683662,518651268
1.6100,gpu,1,1,0
1.8100,disk0,901703569764352,2027480819,12625403454536841
1.8100,disk0w,1979392151552,18841787,1162697580195
1.8100,disk5,34730286790656,69912182,583009722128093
1.8100,disk5w,225980416,35966,1254168700
1.8100,disk4,37999688709120,38080440,404410629336352
1.8100,disk4w,1447558162432,1494953,591086721008
1.8100,disk8,57148331829248,92831353,923667507651608
1.8100,disk8w,4128768,601,984243925
1.8100,ram,74671144960,4369235968,279204
1.8100,cpu,14960408,21683662,518651268
1.8100,gpu,0,0,0
2.0100,disk0,901704156966912,2027482224,12625404485327127
2.0100,disk0w,1979392151552,18841787,1162697580195
2.0100,disk5,34730286790656,69912182,583009722128093
2.0100,disk5w,225980416,35966,1254168700
2.0100,disk4,37999688709120,38080440,404410629336352
2.0100,disk4w,1447558162432,1494953,591086721008
2.0100,disk8,57148331829248,92831353,923667507651608
2.0100,disk8w,4128768,601,984243925
2.0100,ram,74671144960,4369235968,279204
2.0100,cpu,14960408,21683662,518651268
2.0100,gpu,0,0,0
2.2100,disk0,901704442109952,2027482786,12625404919815952
2.2100,disk0w,1979392163840,18841789,1162697624403
2.2100,disk5,34730286790656,69912182,583009722128093
2.2100,disk5w,225980416,35966,1254168700
2.2100,disk4,37999688709120,38080440,404410629336352
2.2100,disk4w,1447558162432,1494953,591086721008
2.2100,disk8,57148331829248,92831353,923667507651608
2.2100,disk8w,4128768,601,984243925
2.2100,ram,69492129792,6776963072,279204
2.2100,cpu,14960492,21683728,518652948
2.2100,gpu,0,0,0
2.4100,disk0,901704442429440,2027482796,12625404921388825
2.4100,disk0w,1979392196608,18841797,1162697787899
2.4100,disk5,34730286790656,69912182,583009722128093
2.4100,disk5w,225980416,35966,1254168700
2.4100,disk4,37999688709120,38080440,404410629336352
2.4100,disk4w,1447558162432,1494953,591086721008
2.4100,disk8,57149138216960,92833178,923680954752016
2.4100,disk8w,4128768,601,984243925
2.4100,ram,69493473280,6777028608,279204
2.4100,cpu,14960497,21683730,518652982
2.4100,gpu,0,0,0
2.6100,disk0,901704442445824,2027482800,12625404921891615
2.6100,disk0w,1979392204800,18841799,1162697820149
2.6100,disk5,34730286790656,69912182,583009722128093
2.6100,disk5w,225980416,35966,1254168700
2.6100,disk4,37999688709120,38080440,404410629336352
2.6100,disk4w,1447558162432,1494953,591086721008
2.6100,disk8,57150342760448,92837415,923707876422765
2.6100,disk8w,4128768,601,984243925
2.6100,ram,69493473280,6777028608,279204
2.6100,cpu,14960497,21683730,518652982
2.6100,gpu,88,0,0
2.8100,disk0,901705305063424,2027484159,12625417838975334
2.8100,disk0w,1979392208896,18841800,1162697836940
2.8100,disk5,34730819000320,69913271,583024926062408
2.8100,disk5w,225980416,35966,1254168700
2.8100,disk4,38000263361536,38080998,404418307576913
2.8100,disk4w,1447558162432,1494953,591086721008
2.8100,disk8,57151581988864,92839954,923736039927684
2.8100,disk8w,4128768,601,984243925
2.8100,ram,69493473280,6777028608,279204
2.8100,cpu,14960497,21683730,518652982
2.8100,gpu,0,0,0
3.0058,disk0,901706496098304,2027486377,12625435970228161
3.0058,disk0w,1979392208896,18841800,1162697836940
3.0058,disk5,34731599738880,69914870,583049016271616
3.0058,disk5w,225980416,35966,1254168700
3.0058,disk4,38001070633984,38081781,404430303871319
3.0058,disk4w,1447558162432,1494953,591086721008
3.0058,disk8,57152488908800,92840982,923752398916500
3.0058,disk8w,4128768,601,984243925
3.0058,ram,69493473280,6777028608,279204
3.0058,cpu,14960497,21683730,518652982
3.0058,gpu,0,0,0
3.2047,disk0,901707618500608,2027488354,12625454797111957
3.2047,disk0w,1979392208896,18841800,1162697836940
3.2047,disk5,34732216989696,69916142,583068102585825
3.2047,disk5w,225980416,35966,1254168700
3.2047,disk4,38001724191744,38082416,404439712444690
3.2047,disk4w,1447558162432,1494953,591086721008
3.2047,disk8,57153511090176,92842817,923775598795235
3.2047,disk8w,4128768,601,984243925
3.2047,ram,69493473280,6777028608,279204
3.2047,cpu,14960497,21683730,518652982
3.2047,gpu,0,0,0
3.4100,disk0,901708619907072,2027489763,12625469417608153
3.4100,disk0w,1979392208896,18841800,1162697836940
3.4100,disk5,34732912957440,69917565,583091199516883
3.4100,disk5w,225980416,35966,1254168700
3.4100,disk4,38002329465856,38083002,404448525670198
3.4100,disk4w,1447558162432,1494953,591086721008
3.4100,disk8,57154509690880,92844418,923797846606284
3.4100,disk8w,4128768,601,984243925
3.4100,ram,59610595328,10049912832,279204
3.4100,cpu,14960559,21683867,518654789
3.4100,gpu,0,0,0
3.6100,disk0,901710058782720,2027491900,12625490852270115
3.6100,disk0w,1979392208896,18841800,1162697836940
3.6100,disk5,34733807917056,69919393,583120085063477
3.6100,disk5w,225980416,35966,1254168700
3.6100,disk4,38003198161920,38083845,404462034455965
3.6100,disk4w,1447558162432,1494953,591086721008
3.6100,disk8,57155592263680,92845671,923821513113489
3.6100,disk8w,4128768,601,984243925
3.6100,ram,59610595328,10049912832,279204
3.6100,cpu,14960559,21683867,518654789
3.6100,gpu,0,0,0
3.8003,disk0,901710918602752,2027493823,12625505788072862
3.8003,disk0w,1979392208896,18841800,1162697836940
3.8003,disk5,34734322661376,69920461,583137945520376
3.8003,disk5w,225980416,35966,1254168700
3.8003,disk4,38003707032576,38084340,404470926976761
3.8003,disk4w,1447558162432,1494953,591086721008
3.8003,disk8,57156619696128,92847605,923841432296584
3.8003,disk8w,4128768,601,984243925
3.8003,ram,59610595328,10049912832,279204
3.8003,cpu,14960559,21683867,518654789
3.8003,gpu,0,0,0
4.0100,disk0,901712515403776,2027497633,12625533473572749
