t_s,dev,v1,v2,v3
0.2050,disk0,931656794472448,2099087670,12866506088995740
0.2050,disk0w,2189575737344,19768975,1285292515093
0.2050,disk4,4231286999040,8551067,55529899337289
0.2050,disk4w,2195456,171,27582691
0.2050,disk8,4801832577024,4844773,51640296445630
0.2050,disk8w,331104256,43188,1830418159
0.2050,disk6,7619013113856,12507735,117667121180005
0.2050,disk6w,380928,53,8067940
0.2050,ram,65033568256,5611716608,283033
0.2050,cpu,15774914,22550308,541654493
0.2050,gpu,25,25,0
0.4050,disk0,931656794472448,2099087670,12866506088995740
0.4050,disk0w,2189575737344,19768975,1285292515093
0.4050,disk4,4231286999040,8551067,55529899337289
0.4050,disk4w,2195456,171,27582691
0.4050,disk8,4801832577024,4844773,51640296445630
0.4050,disk8w,331104256,43188,1830418159
0.4050,disk6,7619013113856,12507735,117667121180005
0.4050,disk6w,380928,53,8067940
0.4050,ram,65033568256,5611716608,283033
0.4050,cpu,15774914,22550308,541654493
0.4050,gpu,25,25,0
0.6050,disk0,931656794472448,2099087670,12866506088995740
0.6050,disk0w,2189575737344,19768975,1285292515093
0.6050,disk4,4231286999040,8551067,55529899337289
0.6050,disk4w,2195456,171,27582691
0.6050,disk8,4801832577024,4844773,51640296445630
0.6050,disk8w,331104256,43188,1830418159
0.6050,disk6,7619013113856,12507735,117667121180005
0.6050,disk6w,380928,53,8067940
0.6050,ram,65033568256,5611716608,283033
0.6050,cpu,15774914,22550308,541654493
0.6050,gpu,0,0,0
0.8050,disk0,931656794472448,2099087670,12866506088995740
0.8050,disk0w,2189575737344,19768975,1285292515093
0.8050,disk4,4231286999040,8551067,55529899337289
0.8050,disk4w,2195456,171,27582691
0.8050,disk8,4801832577024,4844773,51640296445630
0.8050,disk8w,331104256,43188,1830418159
0.8050,disk6,7619013113856,12507735,117667121180005
0.8050,disk6w,380928,53,8067940
0.8050,ram,65033568256,5611716608,283033
0.8050,cpu,15774914,22550308,541654493
0.8050,gpu,27,27,0
1.0028,disk0,931656794472448,2099087670,12866506088995740
1.0028,disk0w,2189575737344,19768975,1285292515093
1.0028,disk4,4231286999040,8551067,55529899337289
1.0028,disk4w,2195456,171,27582691
1.0028,disk8,4801832577024,4844773,51640296445630
1.0028,disk8w,331104256,43188,1830418159
1.0028,disk6,7619013113856,12507735,117667121180005
1.0028,disk6w,380928,53,8067940
1.0028,ram,65037729792,5604933632,283033
1.0028,cpu,15774955,22550358,541656230
1.0028,gpu,0,0,0
1.2029,disk0,931656801128448,2099087962,12866506122334146
1.2029,disk0w,2189575737344,19768975,1285292515093
1.2029,disk4,4231286999040,8551067,55529899337289
1.2029,disk4w,2195456,171,27582691
1.2029,disk8,4801832577024,4844773,51640296445630
1.2029,disk8w,331104256,43188,1830418159
1.2029,disk6,7619013113856,12507735,117667121180005
1.2029,disk6w,380928,53,8067940
