t_s,dev,v1,v2,v3
0.2047,disk0,946162455793664,2135014841,12960782213314940
0.2047,disk0w,2192998035456,19832297,1288222675945
0.2047,disk4,9665852393472,19471002,107199522032897
0.2047,disk4w,2195456,171,27582691
0.2047,disk8,9037539829760,9146319,69069153550270
0.2047,disk8w,361811968,47410,3116013834
0.2047,disk6,16720852961280,27180752,219784206977817
0.2047,disk6w,491520,70,201274851
0.2047,ram,64713015296,5695176704,284859
0.2047,cpu,15865113,22768374,544033011
0.2047,gpu,0,0,0
0.4050,disk0,946162455793664,2135014841,12960782213314940
0.4050,disk0w,2192998035456,19832297,1288222675945
0.4050,disk4,9665852393472,19471002,107199522032897
0.4050,disk4w,2195456,171,27582691
0.4050,disk8,9037539829760,9146319,69069153550270
0.4050,disk8w,361811968,47410,3116013834
0.4050,disk6,16720852961280,27180752,219784206977817
0.4050,disk6w,491520,70,201274851
0.4050,ram,64713015296,5695176704,284859
0.4050,cpu,15865113,22768374,544033011
0.4050,gpu,0,0,0
0.6041,disk0,946162455793664,2135014841,12960782213314940
0.6041,disk0w,2192998035456,19832297,1288222675945
0.6041,disk4,9665852393472,19471002,107199522032897
0.6041,disk4w,2195456,171,27582691
0.6041,disk8,9037539829760,9146319,69069153550270
0.6041,disk8w,361811968,47410,3116013834
0.6041,disk6,16720852961280,27180752,219784206977817
0.6041,disk6w,491520,70,201274851
0.6041,ram,64713015296,5695176704,284859
0.6041,cpu,15865113,22768374,544033011
0.6041,gpu,0,0,0
0.8002,disk0,946162455793664,2135014841,12960782213314940
0.8002,disk0w,2192998035456,19832297,1288222675945
0.8002,disk4,9665852393472,19471002,107199522032897
0.8002,disk4w,2195456,171,27582691
0.8002,disk8,9037539829760,9146319,69069153550270
0.8002,disk8w,361811968,47410,3116013834
0.8002,disk6,16720852961280,27180752,219784206977817
0.8002,disk6w,491520,70,201274851
0.8002,ram,64750927872,5637013504,284859
0.8002,cpu,15865164,22768425,544034579
0.8002,gpu,0,0,0
1.0050,disk0,946162455793664,2135014841,12960782213314940
1.0050,disk0w,2192998035456,19832297,1288222675945
1.0050,disk4,9665852393472,19471002,107199522032897
1.0050,disk4w,2195456,171,27582691
1.0050,disk8,9037539829760,9146319,69069153550270
1.0050,disk8w,361811968,47410,3116013834
1.0050,disk6,16720852961280,27180752,219784206977817
1.0050,disk6w,491520,70,201274851
1.0050,ram,64750272512,5637013504,284859
1.0050,cpu,15865166,22768428,544034682
1.0050,gpu,0,0,0
1.2050,disk0,946162461720576,2135014958,12960782230683109
1.2050,disk0w,2192998039552,19832298,1288222698986
1.2050,disk4,9665852393472,19471002,107199522032897
1.2050,disk4w,2195456,171,27582691
1.2050,disk8,9037539829760,9146319,69069153550270
1.2050,disk8w,361811968,47410,3116013834
1.2050,disk6,16720852961280,27180752,219784206977817
1.2050,disk6w,491520,70,201274851
1.2050,ram,64750272512,5637013504,284859
1.2050,cpu,15865166,22768428,544034682
1.2050,gpu,0,0,0
1.4034,disk0,946162461720576,2135014958,12960782230683109
1.4034,disk0w,2192998051840,19832301,1288222780985
1.4034,disk4,9665852393472,19471002,107199522032897
1.4034,disk4w,2195456,171,27582691
1.4034,disk8,9037539829760,9146319,69069153550270
1.4034,disk8w,361811968,47410,3116013834
1.4034,disk6,16721076357120,27181126,219786330270446
1.4034,disk6w,491520,70,201274851
1.4034,ram,64750272512,5637013504,284859
1.4034,cpu,15865166,22768428,544034682
1.4034,gpu,0,0,0
1.6050,disk0,946162461728768,2135014960,12960782230899442
1.6050,disk0w,2192998109184,19832306,1288222915942
1.6050,disk4,9665852393472,19471002,107199522032897
1.6050,disk4w,2195456,171,27582691
1.6050,disk8,9037539829760,9146319,69069153550270
1.6050,disk8w,361811968,47410,3116013834
1.6050,disk6,16722027743232,27182080,219794112169592
1.6050,disk6w,491520,70,201274851
1.6050,ram,64750272512,5637013504,284859
1.6050,cpu,15865166,22768428,544034682
1.6050,gpu,0,0,0
1.8050,disk0,946162461728768,2135014960,12960782230899442
1.8050,disk0w,2192998109184,19832306,1288222915942
1.8050,disk4,9665852393472,19471002,107199522032897
1.8050,disk4w,2195456,171,27582691
1.8050,disk8,9037539829760,9146319,69069153550270
1.8050,disk8w,361811968,47410,3116013834
1.8050,disk6,16723199526912,27185086,219815486326288
1.8050,disk6w,491520,70,201274851
1.8050,ram,60722937856,7124762624,284859
1.8050,cpu,15865243,22768515,544036218
1.8050,gpu,0,0,0
2.0050,disk0,946162462097408,2135014972,12960782233104354
2.0050,disk0w,2192998109184,19832306,1288222915942
2.0050,disk4,9665852393472,19471002,107199522032897
2.0050,disk4w,2195456,171,27582691
2.0050,disk8,9037539829760,9146319,69069153550270
2.0050,disk8w,361811968,47410,3116013834
2.0050,disk6,16724352198656,27189304,219843407528919
2.0050,disk6w,491520,70,201274851
2.0050,ram,59802140672,7570948096,284859
2.0050,cpu,15865243,22768515,544036220
2.0050,gpu,100,1,0
2.2050,disk0,946163514933248,2135016786,12960797179494912
2.2050,disk0w,2192998113280,19832307,1288222934192
2.2050,disk4,9666519189504,19472368,107218367447866
2.2050,disk4w,2195456,171,27582691
2.2050,disk8,9038406772736,9147159,69082262193744
2.2050,disk8w,361811968,47410,3116013834
2.2050,disk6,16725533132800,27190926,219867447256711
2.2050,disk6w,491520,70,201274851
2.2050,ram,59802140672,7570948096,284859
2.2050,cpu,15865243,22768515,544036220
2.2050,gpu,0,0,0
2.4050,disk0,946164497580032,2135018335,12960812217629421
2.4050,disk0w,2192998113280,19832307,1288222934192
2.4050,disk4,9667017893888,19473387,107231995129809
2.4050,disk4w,2195456,171,27582691
2.4050,disk8,9039066441728,9147800,69092774665865
2.4050,disk8w,361811968,47410,3116013834
2.4050,disk6,16726556608512,27192054,219891748784262
2.4050,disk6w,491520,70,201274851
2.4050,ram,59802140672,7570948096,284859
2.4050,cpu,15865243,22768515,544036220
2.4050,gpu,0,0,0
2.6050,disk0,946165304754176,2135019669,12960823594861651
2.6050,disk0w,2192998113280,19832307,1288222934192
2.6050,disk4,9667501434880,19474370,107245095173195
2.6050,disk4w,2195456,171,27582691
2.6050,disk8,9039664375808,9148379,69101176475092
2.6050,disk8w,361811968,47410,3116013834
2.6050,disk6,16727563991040,27194298,219911927141430
2.6050,disk6w,491520,70,201274851
2.6050,ram,59802140672,7570948096,284859
2.6050,cpu,15865243,22768515,544036220
2.6050,gpu,0,0,0
2.8050,disk0,946166690988032,2135021803,12960844437928638
2.8050,disk0w,2192998113280,19832307,1288222934192
2.8050,disk4,9668228900864,19475871,107266796061859
2.8050,disk4w,2195456,171,27582691
2.8050,disk8,9040311904256,9149008,69108697627634
2.8050,disk8w,361811968,47410,3116013834
2.8050,disk6,16728805128192,27195818,219943400360501
2.8050,disk6w,491520,70,201274851
2.8050,ram,59802140672,7570948096,284859
2.8050,cpu,15865243,22768515,544036220
2.8050,gpu,0,0,0
3.0050,disk0,946167111491584,2135022408,12960848048557813
3.0050,disk0w,2192998117376,19832308,1288222958733
3.0050,disk4,9668944939008,19477337,107292795034254
3.0050,disk4w,2195456,171,27582691
3.0050,disk8,9040694962176,9149379,69113894631129
3.0050,disk8w,361811968,47410,3116013834
3.0050,disk6,16729903642624,27197603,219967268547876
3.0050,disk6w,491520,70,201274851
3.0050,ram,52374339584,10169909248,284859
3.0050,cpu,15865302,22768668,544037886
3.0050,gpu,0,0,0
3.2002,disk0,946168541839360,2135025867,12960873140499344
3.2002,disk0w,2192998117376,19832308,1288222958733
3.2002,disk4,9669773297664,19479038,107319910566399
3.2002,disk4w,2195456,171,27582691
3.2002,disk8,9041707968512,9150363,69132556252301
3.2002,disk8w,361811968,47410,3116013834
3.2002,disk6,16730922932224,27199080,219989220033898
3.2002,disk6w,491520,70,201274851
3.2002,ram,52374339584,10169909248,284859
3.2002,cpu,15865302,22768668,544037886
3.2002,gpu,0,0,0
3.4039,disk0,946169775665152,2135029020,12960893608734623
3.4039,disk0w,2192998117376,19832308,1288222958733
3.4039,disk4,9670329026560,19480180,107334457998599
3.4039,disk4w,2195456,171,27582691
3.4039,disk8,9042556168192,9151184,69148472273949
3.4039,disk8w,361811968,47410,3116013834
3.4039,disk6,16732277577728,27201516,220022618899284
3.4039,disk6w,491520,70,201274851
3.4039,ram,52374339584,10169909248,284859
3.4039,cpu,15865302,22768668,544037886
3.4039,gpu,0,0,0
3.6050,disk0,946170832154624,2135031745,12960911432953989
3.6050,disk0w,2192998117376,19832308,1288222958733
3.6050,disk4,9670906005504,19481365,107353034267916
3.6050,disk4w,2195456,171,27582691
3.6050,disk8,9043242690560,9151855,69160655748113
3.6050,disk8w,361811968,47410,3116013834
3.6050,disk6,16733539809280,27203579,220055331562095
3.6050,disk6w,491520,70,201274851
3.6050,ram,52374339584,10169909248,284859
3.6050,cpu,15865302,22768668,544037886
3.6050,gpu,0,0,0
3.8050,disk0,946171988766720,2135034486,12960929791134026
3.8050,disk0w,2192998117376,19832308,1288222958733
3.8050,disk4,9671389251584,19482349,107363165062703
3.8050,disk4w,2195456,171,27582691
3.8050,disk8,9044117170176,9152704,69174904021740
3.8050,disk8w,361811968,47410,3116013834
3.8050,disk6,16734897838080,27206085,220095927149840
3.8050,disk6w,491520,70,201274851
3.8050,ram,52374339584,10169909248,284859
3.8050,cpu,15865302,22768668,544037886
3.8050,gpu,0,0,0
4.0050,disk0,946172531208192,2135035676,12960937305084301
4.0050,disk0w,2192999419904,19832448,1288225154647
4.0050,disk4,9671839205376,19483275,107376083799209
4.0050,disk4w,2195456,171,27582691
4.0050,disk8,9044672948224,9153246,69184057632353
4.0050,disk8w,361811968,47410,3116013834
4.0050,disk6,16736079812608,27207971,220125970039873
4.0050,disk6w,491520,70,201274851
4.0050,ram,48162799616,12524994560,284859
4.0050,cpu,15865361,22768848,544039482
4.0050,gpu,0,0,0
4.2042,disk0,946173669134336,2135037988,12960954586124402
4.2042,disk0w,2193005121536,19832759,1288230717622
4.2042,disk4,9672774412288,19485196,107406963390866
4.2042,disk4w,2195456,171,27582691
4.2042,disk8,9045892884480,9154432,69208772350461
4.2042,disk8w,361811968,47410,3116013834
4.2042,disk6,16737094830080,27209715,220150554739785
4.2042,disk6w,491520,70,201274851
4.2042,ram,48162799616,12524994560,284859
4.2042,cpu,15865361,22768848,544039482
4.2042,gpu,0,0,0
4.4050,disk0,946174675013632,2135040088,12960971209831182
4.4050,disk0w,2193005121536,19832759,1288230717622
4.4050,disk4,9673818851328,19487341,107444949914403
4.4050,disk4w,2195456,171,27582691
4.4050,disk8,9046962710528,9155472,69230256339177
4.4050,disk8w,361811968,47410,3116013834
4.4050,disk6,16737903085568,27211007,220169937438614
4.4050,disk6w,491520,70,201274851
4.4050,ram,48162799616,12524994560,284859
4.4050,cpu,15865361,22768848,544039482
4.4050,gpu,0,0,0
4.6050,disk0,946175674929152,2135041869,12960987003267064
4.6050,disk0w,2193005121536,19832759,1288230717622
4.6050,disk4,9674395092992,19488518,107460460179252
4.6050,disk4w,2195456,171,27582691
4.6050,disk8,9047723911168,9156219,69240661684100
4.6050,disk8w,361811968,47410,3116013834
