t_s,dev,v1,v2,v3
0.2007,disk0,949295009800192,2142781891,12978773721798430
0.2007,disk0w,2193178710016,19845728,1288596295676
0.2007,disk4,10883415427072,21916709,118055263083789
0.2007,disk4w,2195456,171,27582691
0.2007,disk8,9944020314112,10069180,72151736403915
0.2007,disk8w,362770432,47529,3120315382
0.2007,disk6,18832249956352,30585616,244190298152090
0.2007,disk6w,491520,70,201274851
0.2007,ram,65730330624,5981650944,285198
0.2007,cpu,15887894,22816744,544562657
0.2007,gpu,0,0,0
0.4050,disk0,949295009800192,2142781891,12978773721798430
0.4050,disk0w,2193178710016,19845728,1288596295676
0.4050,disk4,10883415427072,21916709,118055263083789
0.4050,disk4w,2195456,171,27582691
0.4050,disk8,9944020314112,10069180,72151736403915
0.4050,disk8w,362770432,47529,3120315382
0.4050,disk6,18832249956352,30585616,244190298152090
0.4050,disk6w,491520,70,201274851
0.4050,ram,65730330624,5981650944,285198
0.4050,cpu,15887894,22816744,544562657
0.4050,gpu,0,0,0
0.6018,disk0,949295009800192,2142781891,12978773721798430
0.6018,disk0w,2193178710016,19845728,1288596295676
0.6018,disk4,10883415427072,21916709,118055263083789
0.6018,disk4w,2195456,171,27582691
0.6018,disk8,9944020314112,10069180,72151736403915
0.6018,disk8w,362770432,47529,3120315382
0.6018,disk6,18832249956352,30585616,244190298152090
0.6018,disk6w,491520,70,201274851
0.6018,ram,65730330624,5981650944,285198
0.6018,cpu,15887894,22816744,544562657
0.6018,gpu,0,0,0
0.8050,disk0,949295009816576,2142781893,12978773722156346
0.8050,disk0w,2193178710016,19845728,1288596295676
0.8050,disk4,10883415427072,21916709,118055263083789
0.8050,disk4w,2195456,171,27582691
0.8050,disk8,9944020314112,10069180,72151736403915
0.8050,disk8w,362770432,47529,3120315382
0.8050,disk6,18832249956352,30585616,244190298152090
0.8050,disk6w,491520,70,201274851
0.8050,ram,65763082240,6036013056,285198
0.8050,cpu,15887962,22816813,544564297
0.8050,gpu,0,0,0
1.0005,disk0,949295009816576,2142781893,12978773722156346
1.0005,disk0w,2193178714112,19845729,1288596332551
1.0005,disk4,10883415427072,21916709,118055263083789
1.0005,disk4w,2195456,171,27582691
1.0005,disk8,9944020314112,10069180,72151736403915
1.0005,disk8w,362770432,47529,3120315382
1.0005,disk6,18832249956352,30585616,244190298152090
1.0005,disk6w,491520,70,201274851
1.0005,ram,65763082240,6036013056,285198
1.0005,cpu,15887962,22816813,544564297
1.0005,gpu,0,0,0
1.2050,disk0,949295015895040,2142782020,12978773740210888
1.2050,disk0w,2193178714112,19845729,1288596332551
1.2050,disk4,10883415427072,21916709,118055263083789
1.2050,disk4w,2195456,171,27582691
1.2050,disk8,9944020314112,10069180,72151736403915
1.2050,disk8w,362770432,47529,3120315382
1.2050,disk6,18832249956352,30585616,244190298152090
1.2050,disk6w,491520,70,201274851
1.2050,ram,65763082240,6036013056,285198
1.2050,cpu,15887962,22816813,544564297
1.2050,gpu,0,0,0
1.4042,disk0,949295015948288,2142782033,12978773742567717
1.4042,disk0w,2193178718208,19845730,1288596350676
1.4042,disk4,10883415427072,21916709,118055263083789
1.4042,disk4w,2195456,171,27582691
1.4042,disk8,9944020314112,10069180,72151736403915
1.4042,disk8w,362770432,47529,3120315382
1.4042,disk6,18832433518592,30585955,244192033216609
1.4042,disk6w,491520,70,201274851
1.4042,ram,65763082240,6036013056,285198
1.4042,cpu,15887962,22816813,544564297
1.4042,gpu,0,0,0
1.6050,disk0,949295015948288,2142782033,12978773742567717
1.6050,disk0w,2193178718208,19845730,1288596350676
1.6050,disk4,10883415427072,21916709,118055263083789
1.6050,disk4w,2195456,171,27582691
1.6050,disk8,9944020314112,10069180,72151736403915
1.6050,disk8w,362770432,47529,3120315382
1.6050,disk6,18833424750592,30586947,244200114852320
1.6050,disk6w,491520,70,201274851
1.6050,ram,65763082240,6036013056,285198
1.6050,cpu,15887962,22816813,544564297
1.6050,gpu,0,0,0
1.8050,disk0,949295015948288,2142782033,12978773742567717
1.8050,disk0w,2193178718208,19845730,1288596350676
1.8050,disk4,10883415427072,21916709,118055263083789
1.8050,disk4w,2195456,171,27582691
1.8050,disk8,9944020314112,10069180,72151736403915
1.8050,disk8w,362770432,47529,3120315382
1.8050,disk6,18834596829184,30589965,244221560571815
1.8050,disk6w,491520,70,201274851
1.8050,ram,62183866368,7372701696,285198
1.8050,cpu,15888046,22816904,544566028
1.8050,gpu,0,0,0
2.0050,disk0,949295016333312,2142782046,12978773744411337
2.0050,disk0w,2193178722304,19845731,1288596370426
2.0050,disk4,10883415427072,21916709,118055263083789
2.0050,disk4w,2195456,171,27582691
2.0050,disk8,9944020314112,10069180,72151736403915
2.0050,disk8w,362770432,47529,3120315382
2.0050,disk6,18835725776896,30594093,244248851329290
2.0050,disk6w,491520,70,201274851
2.0050,ram,62183866368,7372701696,285198
2.0050,cpu,15888046,22816904,544566028
2.0050,gpu,0,0,0
2.2050,disk0,949296159330304,2142783828,12978790689159818
2.2050,disk0w,2193178722304,19845731,1288596370426
2.2050,disk4,10883986409472,21917877,118071300422788
2.2050,disk4w,2195456,171,27582691
2.2050,disk8,9944856160256,10069991,72164889826347
2.2050,disk8w,362770432,47529,3120315382
2.2050,disk6,18836791056384,30595744,244270298494558
2.2050,disk6w,491520,70,201274851
2.2050,ram,62183866368,7372701696,285198
2.2050,cpu,15888046,22816904,544566028
2.2050,gpu,0,0,0
2.4050,disk0,949297420308480,2142786100,12978811764154684
2.4050,disk0w,2193178722304,19845731,1288596370426
2.4050,disk4,10884538451968,21919012,118087338810195
2.4050,disk4w,2195456,171,27582691
2.4050,disk8,9945599207424,10070713,72177047390434
2.4050,disk8w,362770432,47529,3120315382
2.4050,disk6,18837673154560,30596691,244288596542033
2.4050,disk6w,491520,70,201274851
2.4050,ram,62183866368,7372701696,285198
2.4050,cpu,15888046,22816904,544566028
2.4050,gpu,0,0,0
2.6050,disk0,949298999562240,2142788811,12978837441509318
2.6050,disk0w,2193178722304,19845731,1288596370426
2.6050,disk4,10885213235200,21920387,118106162943022
2.6050,disk4w,2195456,171,27582691
2.6050,disk8,9946398910464,10071489,72189256498369
2.6050,disk8w,362770432,47529,3120315382
2.6050,disk6,18838761084928,30597918,244312152392542
2.6050,disk6w,491520,70,201274851
2.6050,ram,62183866368,7372701696,285198
2.6050,cpu,15888046,22816904,544566028
2.6050,gpu,0,0,0
2.8050,disk0,949299606884352,2142789905,12978845073187506
2.8050,disk0w,2193178722304,19845731,1288596370426
2.8050,disk4,10885686413312,21921362,118120338316089
2.8050,disk4w,2195456,171,27582691
2.8050,disk8,9946862757888,10071940,72196066500018
2.8050,disk8w,362770432,47529,3120315382
2.8050,disk6,18839605479424,30599990,244328663971982
2.8050,disk6w,491520,70,201274851
2.8050,ram,53428535296,9875210240,285198
2.8050,cpu,15888109,22817059,544567597
2.8050,gpu,0,0,0
3.0050,disk0,949301403119616,2142792703,12978873729747332
3.0050,disk0w,2193178726400,19845732,1288596385009
3.0050,disk4,10886588655616,21923215,118148223855470
3.0050,disk4w,2195456,171,27582691
3.0050,disk8,9947885545472,10072935,72212500843423
3.0050,disk8w,362770432,47529,3120315382
3.0050,disk6,18840718526464,30601276,244351341754133
3.0050,disk6w,491520,70,201274851
3.0050,ram,53428535296,9875210240,285198
3.0050,cpu,15888109,22817059,544567597
3.0050,gpu,0,0,0
3.2030,disk0,949302877708288,2142794965,12978896148438343
3.2030,disk0w,2193178759168,19845737,1288599472341
3.2030,disk4,10887399884800,21924873,118173233782749
3.2030,disk4w,2195456,171,27582691
3.2030,disk8,9948722980864,10073749,72224465258145
3.2030,disk8w,362770432,47529,3120315382
3.2030,disk6,18841890539520,30602624,244377807807577
3.2030,disk6w,491520,70,201274851
3.2030,ram,53428535296,9875210240,285198
3.2030,cpu,15888109,22817059,544567597
3.2030,gpu,0,0,0
3.4050,disk0,949303807758336,2142797125,12978912573830792
3.4050,disk0w,2193178759168,19845737,1288599472341
3.4050,disk4,10887960168448,21926032,118193351202149
3.4050,disk4w,2195456,171,27582691
3.4050,disk8,9949144115200,10074158,72230463418135
3.4050,disk8w,362770432,47529,3120315382
3.4050,disk6,18843011606528,30604688,244401427331420
3.4050,disk6w,491520,70,201274851
3.4050,ram,53428535296,9875210240,285198
3.4050,cpu,15888109,22817059,544567597
3.4050,gpu,0,0,0
3.6050,disk0,949305727995904,2142801475,12978945369674802
3.6050,disk0w,2193178759168,19845737,1288599472341
3.6050,disk4,10888785168384,21927722,118216122259018
3.6050,disk4w,2195456,171,27582691
3.6050,disk8,9950220019712,10075200,72247108300594
3.6050,disk8w,362770432,47529,3120315382
3.6050,disk6,18843841374208,30605738,244414295712361
3.6050,disk6w,491520,70,201274851
3.6050,ram,53428535296,9875210240,285198
3.6050,cpu,15888109,22817059,544567597
3.6050,gpu,0,0,0
3.8050,disk0,949306671452160,2142803797,12978960729345013
3.8050,disk0w,2193178759168,19845737,1288599472341
3.8050,disk4,10889405614080,21928996,118236021044166
3.8050,disk4w,2195456,171,27582691
3.8050,disk8,9950952040448,10075910,72261011722568
3.8050,disk8w,362770432,47529,3120315382
3.8050,disk6,18844926797824,30607737,244440105006646
3.8050,disk6w,491520,70,201274851
3.8050,ram,50480873472,11846041600,285198
3.8050,cpu,15888172,22817219,544569159
3.8050,gpu,0,0,0
4.0050,disk0,949308475379712,2142808586,12978991908116537
4.0050,disk0w,2193178763264,19845738,1288599480549
4.0050,disk4,10890269657088,21930764,118262621104254
4.0050,disk4w,2195456,171,27582691
4.0050,disk8,9952118073344,10077045,72282337308076
4.0050,disk8w,362770432,47529,3120315382
4.0050,disk6,18846185179136,30609358,244469958708224
4.0050,disk6w,491520,70,201274851
4.0050,ram,50453823488,11846041600,285198
4.0050,cpu,15888172,22817219,544569159
4.0050,gpu,0,0,0
4.2050,disk0,949309370327040,2142810677,12979006298740678
4.2050,disk0w,2193178763264,19845738,1288599480549
4.2050,disk4,10890750183424,21931756,118276952948146
4.2050,disk4w,2195456,171,27582691
4.2050,disk8,9952583378944,10077497,72288123957760
4.2050,disk8w,362770432,47529,3120315382
4.2050,disk6,18847443421184,30611547,244503909108811
4.2050,disk6w,491520,70,201274851
4.2050,ram,50453823488,11846041600,285198
4.2050,cpu,15888172,22817219,544569159
4.2050,gpu,0,0,0
4.4043,disk0,949310277279744,2142812610,12979019156967537
4.4043,disk0w,2193178763264,19845738,1288599480549
4.4043,disk4,10891232397312,21932744,118288307931354
4.4043,disk4w,2195456,171,27582691
4.4043,disk8,9953619503104,10078505,72309611889678
4.4043,disk8w,362770432,47529,3120315382
4.4043,disk6,18848668985344,30613675,244541652405033
4.4043,disk6w,491520,70,201274851
4.4043,ram,50453823488,11846041600,285198
4.4043,cpu,15888172,22817219,544569159
4.4043,gpu,0,0,0
4.6050,disk0,949311423913984,2142815264,12979036839038142
4.6050,disk0w,2193178763264,19845738,1288599480549
4.6050,disk4,10891886028800,21934083,118306253924034
4.6050,disk4w,2195456,171,27582691
4.6050,disk8,9954641651712,10079498,72327372525815
4.6050,disk8w,362770432,47529,3120315382
4.6050,disk6,18849915873280,30615505,244577037512091
4.6050,disk6w,491520,70,201274851
4.6050,ram,50453823488,11846041600,285198
4.6050,cpu,15888172,22817219,544569159
4.6050,gpu,0,0,0
4.8050,disk0,949312418709504,2142817452,12979052984750749
4.8050,disk0w,2193178763264,19845738,1288599480549
4.8050,disk4,10892543182848,21935429,118326807041840
4.8050,disk4w,2195456,171,27582691
4.8050,disk8,9955531384832,10080361,72344330840436
4.8050,disk8w,362770432,47529,3120315382
4.8050,disk6,18850931709952,30617435,244596418337370
4.8050,disk6w,491520,70,201274851
4.8050,ram,48067690496,13059129344,285198
4.8050,cpu,15888223,22817372,544570661
4.8050,gpu,0,0,0
5.0045,disk0,949313560166400,2142819912,12979070025634305
5.0045,disk0w,2193178787840,19845741,1288599529465
5.0045,disk4,10893255837696,21936890,118347766962437
5.0045,disk4w,2195456,171,27582691
5.0045,disk8,9956630013952,10081428,72365832544435
5.0045,disk8w,362770432,47529,3120315382
5.0045,disk6,18851909851136,30619546,244624432605202
5.0045,disk6w,491520,70,201274851
5.0045,ram,48067690496,13059129344,285198
5.0045,cpu,15888223,22817372,544570661
5.0045,gpu,0,0,0
5.2039,disk0,949314877014016,2142822501,12979091489755807
5.2039,disk0w,2193184808960,19845922,1288605272572
5.2039,disk4,10894186997760,21938805,118378666755124
5.2039,disk4w,2195456,171,27582691
5.2039,disk8,9957557921792,10082329,72381126266687
5.2039,disk8w,362770432,47529,3120315382
5.2039,disk6,18852839905280,30621354,244648097267352
5.2039,disk6w,491520,70,201274851
5.2039,ram,48067690496,13059129344,285198
5.2039,cpu,15888223,22817372,544570661
5.2039,gpu,0,0,0
5.4051,disk0,949315438952448,2142823788,12979099515928093
5.4051,disk0w,2193184813056,19845923,1288605287030
5.4051,disk4,10894926481408,21940324,118404789171734
5.4051,disk4w,2195456,171,27582691
5.4051,disk8,9958419556352,10083164,72399026060783
5.4051,disk8w,362770432,47529,3120315382
5.4051,disk6,18853619636224,30622683,244662628357083
5.4051,disk6w,491520,70,201274851
5.4051,ram,48067690496,13059129344,285198
5.4051,cpu,15888223,22817372,544570661
5.4051,gpu,0,0,0
5.6050,disk0,949316740251648,2142825985,12979120963245133
5.6050,disk0w,2193184813056,19845923,1288605287030
5.6050,disk4,10895768700928,21942052,118433162852319
5.6050,disk4w,2195456,171,27582691
5.6050,disk8,9959233792000,10083955,72412763233852
5.6050,disk8w,362770432,47529,3120315382
5.6050,disk6,18854974240768,30625085,244702416289995
5.6050,disk6w,491520,70,201274851
5.6050,ram,48067690496,13059129344,285198
5.6050,cpu,15888223,22817372,544570661
